system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.46582020557376,28.246016989906607]}"
1,"{""type"":""Point"",""coordinates"":[76.31826044646984,28.212957769013578]}"
2,"{""type"":""Point"",""coordinates"":[76.78764003258249,28.168497041422228]}"
3,"{""type"":""Point"",""coordinates"":[76.43603354448432,28.307572308226703]}"
4,"{""type"":""Point"",""coordinates"":[76.52810288949657,28.070944567309237]}"
5,"{""type"":""Point"",""coordinates"":[76.47365488288871,28.15261325343835]}"
6,"{""type"":""Point"",""coordinates"":[76.58515073916013,28.265698705871394]}"
7,"{""type"":""Point"",""coordinates"":[76.64368490398498,28.273786567683977]}"
8,"{""type"":""Point"",""coordinates"":[76.44242846756983,28.18922820132184]}"
9,"{""type"":""Point"",""coordinates"":[76.5624249060901,28.17859990070649]}"
10,"{""type"":""Point"",""coordinates"":[76.4705385697283,28.242036238717834]}"
11,"{""type"":""Point"",""coordinates"":[76.58689351401824,28.22161012314541]}"
12,"{""type"":""Point"",""coordinates"":[76.44096742157969,28.24216998639978]}"
13,"{""type"":""Point"",""coordinates"":[76.60676108263236,28.1107479581062]}"
14,"{""type"":""Point"",""coordinates"":[76.79427997048825,28.171644837667255]}"
15,"{""type"":""Point"",""coordinates"":[76.44081778573042,28.29764431981952]}"
16,"{""type"":""Point"",""coordinates"":[76.71007487836184,28.228666320644006]}"
17,"{""type"":""Point"",""coordinates"":[76.4701201840793,28.15574485313357]}"
18,"{""type"":""Point"",""coordinates"":[76.39753199416425,28.314112101938125]}"
19,"{""type"":""Point"",""coordinates"":[76.40310841969541,28.361527531733547]}"
20,"{""type"":""Point"",""coordinates"":[76.47950225451488,28.18137426205993]}"
21,"{""type"":""Point"",""coordinates"":[76.55277282505892,28.052392913922084]}"
22,"{""type"":""Point"",""coordinates"":[76.57344952503111,28.228627850601374]}"
23,"{""type"":""Point"",""coordinates"":[76.57699452239751,28.309488166167007]}"
24,"{""type"":""Point"",""coordinates"":[76.66247414341375,28.257526960429146]}"
25,"{""type"":""Point"",""coordinates"":[76.51789690681335,28.270100788625257]}"
26,"{""type"":""Point"",""coordinates"":[76.3859220958494,28.200235869595744]}"
27,"{""type"":""Point"",""coordinates"":[76.70274797111303,28.263088425532274]}"
28,"{""type"":""Point"",""coordinates"":[76.52865314103434,28.15517227338313]}"
29,"{""type"":""Point"",""coordinates"":[76.60240151934443,28.222868797288395]}"
