system:time_start,ndre
"Dec 16, 2018",0.422
"Dec 21, 2018",0.394
"Dec 26, 2018",0.414
"Dec 31, 2018",0.444
"Jan 5, 2019",0.367
"Jan 20, 2019",0.444
"Jan 25, 2019",0.35
"Feb 4, 2019",0.489
"Feb 9, 2019",0.489
"Feb 19, 2019",0.385
"Feb 24, 2019",0.459
"Mar 1, 2019",0.425
"Mar 6, 2019",0.415
"Mar 11, 2019",0.278
"Mar 16, 2019",0.321
"Mar 21, 2019",0.228
"Mar 26, 2019",0.229
"Mar 31, 2019",0.164
"Apr 5, 2019",0.125
"Apr 10, 2019",0.088
"Apr 20, 2019",0.075
"Apr 25, 2019",0.08
"Apr 30, 2019",0.08
"May 5, 2019",0.103
"May 10, 2019",0.071
"May 25, 2019",0.077
"May 30, 2019",0.078
"Jun 4, 2019",0.075
"Jun 9, 2019",0.079
"Jun 14, 2019",0.085
"Jun 19, 2019",0.069
"Jun 29, 2019",0.067
"Jul 14, 2019",0.096
"Aug 23, 2019",0.398
"Aug 28, 2019",0.312
"Sep 12, 2019",0.301
"Sep 17, 2019",0.215
"Oct 2, 2019",0.112
"Oct 12, 2019",0.154
"Oct 17, 2019",0.114
"Oct 27, 2019",0.1
"Nov 6, 2019",0.109
"Nov 11, 2019",0.06
"Nov 16, 2019",0.089
"Dec 1, 2019",0.246
"Jan 5, 2020",0.347
"Jan 10, 2020",0.471
"Jan 25, 2020",0.474
"Jan 30, 2020",0.507
"Feb 4, 2020",0.468
"Feb 9, 2020",0.473
"Feb 14, 2020",0.483
"Feb 24, 2020",0.354
"Feb 29, 2020",0.343
"Mar 5, 2020",0.26
"Mar 10, 2020",0.384
"Mar 15, 2020",0.316
"Mar 25, 2020",0.192
"Mar 30, 2020",0.199
"Apr 4, 2020",0.147
"Apr 19, 2020",0.116
"Apr 24, 2020",0.092
"Apr 29, 2020",0.083
"May 9, 2020",0.088
"May 14, 2020",0.069
"May 24, 2020",0.085
"May 29, 2020",0.066
"Jun 3, 2020",0.068
"Jun 8, 2020",0.097
"Jun 18, 2020",0.108
"Jun 23, 2020",0.134
"Jun 28, 2020",0.154
"Jul 3, 2020",0.148
"Jul 13, 2020",0.082
"Aug 2, 2020",0.319
"Sep 6, 2020",0.204
"Sep 11, 2020",0.247
"Sep 16, 2020",0.216
"Sep 21, 2020",0.111
"Oct 1, 2020",0.181
"Oct 6, 2020",0.182
"Oct 16, 2020",0.135
"Oct 21, 2020",0.118
"Oct 26, 2020",0.128
"Oct 31, 2020",0.123
"Nov 5, 2020",0.118
"Nov 10, 2020",0.056
"Nov 15, 2020",0.067
"Nov 20, 2020",0.16
"Nov 30, 2020",0.218
"Dec 5, 2020",0.257
"Dec 10, 2020",0.263
"Dec 25, 2020",0.401
"Jan 14, 2021",0.474
"Jan 29, 2021",0.467
"Feb 3, 2021",0.479
"Feb 8, 2021",0.472
"Feb 18, 2021",0.407
"Feb 23, 2021",0.451
"Feb 28, 2021",0.383
"Mar 5, 2021",0.393
"Mar 10, 2021",0.271
"Mar 20, 2021",0.188
"Mar 30, 2021",0.133
"Apr 4, 2021",0.113
"Apr 9, 2021",0.105
"Apr 14, 2021",0.08
"Apr 19, 2021",0.078
"Apr 24, 2021",0.095
"Apr 29, 2021",0.067
"May 4, 2021",0.071
"May 9, 2021",0.063
"May 14, 2021",0.064
"May 24, 2021",0.077
"May 29, 2021",0.062
"Jun 3, 2021",0.104
"Jun 8, 2021",0.084
"Jun 23, 2021",0.118
"Jun 28, 2021",0.12
"Jul 8, 2021",0.13
"Aug 12, 2021",0.302
"Aug 17, 2021",0.261
"Aug 27, 2021",0.241
"Oct 6, 2021",0.146
"Oct 11, 2021",0.166
"Oct 16, 2021",0.125
"Oct 21, 2021",0.157
"Oct 26, 2021",0.122
"Oct 31, 2021",0.127
"Nov 10, 2021",0.064
"Nov 15, 2021",0.092
"Nov 20, 2021",0.172
"Nov 25, 2021",0.232
"Dec 10, 2021",0.346
"Dec 15, 2021",0.303
"Dec 20, 2021",0.449
"Dec 25, 2021",0.356
"Dec 30, 2021",0.443
"Jan 29, 2022",0.489
"Feb 8, 2022",0.415
"Feb 13, 2022",0.457
"Feb 18, 2022",0.425
"Feb 28, 2022",0.402
"Mar 5, 2022",0.349
"Mar 10, 2022",0.296
"Mar 15, 2022",0.235
"Mar 20, 2022",0.208
"Mar 25, 2022",0.162
"Mar 30, 2022",0.142
"Apr 4, 2022",0.142
"Apr 9, 2022",0.124
"Apr 14, 2022",0.101
"Apr 19, 2022",0.095
"Apr 24, 2022",0.093
"Apr 29, 2022",0.094
"May 4, 2022",0.064
"May 9, 2022",0.087
"May 14, 2022",0.086
"May 19, 2022",0.088
"May 24, 2022",0.079
"May 29, 2022",0.076
"Jun 3, 2022",0.093
"Jun 8, 2022",0.096
"Jun 23, 2022",0.122
"Jul 8, 2022",0.181
"Jul 18, 2022",0.279
"Jul 18, 2022",0.256
"Aug 27, 2022",0.289
"Sep 1, 2022",0.211
"Sep 6, 2022",0.291
"Sep 26, 2022",0.216
"Oct 1, 2022",0.192
"Oct 16, 2022",0.179
"Oct 21, 2022",0.149
"Oct 26, 2022",0.146
"Oct 31, 2022",0.106
"Nov 5, 2022",0.109
"Nov 10, 2022",0.125
"Nov 15, 2022",0.152
"Nov 20, 2022",0.2
"Nov 25, 2022",0.269
"Nov 30, 2022",0.271
"Dec 5, 2022",0.344
