-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 10/12/2021 
Location: Latitude  28.242   Longitude 76.4705 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 321.43 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0.0,14.68,22.93,8.69,44.05
2017,1,2,0.0,14.3,22.53,8.77,37.88
2017,1,3,0.0,15.27,24.14,8.5,51.15
2017,1,4,0.0,15.77,25.8,9.74,52.52
2017,1,5,0.0,16.21,26.8,11.79,56.03
2017,1,6,0.14,16.13,25.55,9.3,59.41
2017,1,7,1.14,15.92,22.55,11.36,24.9
2017,1,8,0.0,14.01,20.33,7.5,39.55
2017,1,9,0.0,11.82,19.29,5.9,47.6
2017,1,10,0.0,9.44,18.52,3.7,66.23
2017,1,11,0.0,8.65,18.57,2.83,70.0
2017,1,12,0.0,9.69,19.11,4.01,63.62
2017,1,13,0.0,10.94,20.88,5.83,58.46
2017,1,14,0.0,11.3,22.03,6.09,47.84
2017,1,15,0.0,12.68,23.42,4.48,59.4
2017,1,16,0.0,13.12,22.18,7.23,52.48
2017,1,17,0.0,10.66,18.89,3.54,52.41
2017,1,18,0.0,12.12,21.98,5.85,59.69
2017,1,19,0.0,11.7,21.05,4.01,68.06
2017,1,20,0.0,11.19,20.17,4.1,68.1
2017,1,21,0.08,12.74,19.5,7.56,43.47
2017,1,22,0.01,16.04,25.85,9.69,46.84
2017,1,23,0.0,16.7,26.75,8.69,58.93
2017,1,24,0.0,18.01,27.67,12.01,58.95
2017,1,25,1.43,18.81,27.08,12.91,42.97
2017,1,26,15.93,16.15,22.8,11.43,9.84
2017,1,27,7.75,13.56,19.95,8.15,55.3
2017,1,28,0.0,13.26,21.73,6.98,58.03
2017,1,29,0.0,13.95,23.48,7.22,67.32
2017,1,30,0.0,15.15,26.16,10.65,68.45
2017,1,31,0.0,15.14,24.77,11.13,68.49
2017,2,1,0.0,14.4,23.72,8.53,72.1
2017,2,2,0.0,14.65,24.84,8.55,63.9
2017,2,3,0.0,15.76,26.02,9.79,66.43
2017,2,4,0.0,17.92,27.01,11.23,56.48
2017,2,5,0.01,17.05,25.73,11.1,54.72
2017,2,6,0.0,12.96,21.99,6.01,68.04
2017,2,7,0.0,13.33,22.65,5.18,84.77
2017,2,8,0.0,14.59,25.44,9.18,81.3
2017,2,9,0.0,13.3,22.55,7.2,82.37
2017,2,10,0.0,12.97,22.94,6.25,87.43
2017,2,11,0.0,13.65,24.18,9.04,84.55
2017,2,12,0.0,14.01,24.53,6.95,66.95
2017,2,13,0.0,13.83,24.39,6.15,76.72
2017,2,14,0.0,15.2,26.8,7.67,85.28
2017,2,15,0.0,18.37,29.22,12.05,85.24
2017,2,16,0.0,20.86,30.65,14.8,81.44
2017,2,17,0.0,21.59,30.94,14.09,72.75
2017,2,18,0.0,21.58,31.98,13.47,86.18
2017,2,19,0.0,22.85,32.99,16.46,86.53
2017,2,20,0.0,22.8,32.32,14.82,84.76
2017,2,21,0.0,17.91,26.8,11.21,91.55
2017,2,22,0.0,17.87,28.54,11.42,96.0
2017,2,23,0.0,17.04,27.51,9.02,98.77
2017,2,24,0.0,17.22,28.33,8.31,100.61
2017,2,25,0.0,19.76,30.12,11.33,102.42
2017,2,26,0.0,19.46,29.91,10.65,102.56
2017,2,27,0.0,21.27,31.71,15.08,101.98
2017,2,28,0.0,22.86,33.36,12.81,95.36
2017,3,1,0.03,23.82,30.68,17.65,89.79
2017,3,2,2.16,21.83,27.62,15.75,81.45
2017,3,3,0.02,20.23,28.55,11.97,80.58
2017,3,4,0.0,18.53,27.68,10.12,102.62
2017,3,5,0.0,19.28,29.23,11.58,106.57
2017,3,6,0.0,21.21,30.68,14.0,106.07
2017,3,7,0.0,22.86,31.57,15.08,93.57
2017,3,8,0.06,22.26,29.17,12.62,82.34
2017,3,9,1.08,23.05,29.81,14.37,77.97
2017,3,10,7.29,21.01,27.89,13.34,77.17
2017,3,11,2.5,17.18,24.09,11.05,93.29
2017,3,12,0.0,15.97,24.35,10.23,102.93
2017,3,13,0.0,16.44,26.4,9.37,109.49
2017,3,14,0.0,19.22,28.32,11.52,103.02
2017,3,15,0.0,20.83,30.89,12.91,105.81
2017,3,16,0.0,22.12,31.91,13.7,86.72
2017,3,17,0.0,21.17,29.66,12.76,110.5
2017,3,18,0.03,22.49,30.67,15.28,104.52
2017,3,19,0.02,24.18,32.12,14.23,101.3
2017,3,20,0.01,23.58,32.94,16.84,110.16
2017,3,21,0.0,26.05,35.82,19.33,113.18
2017,3,22,0.0,28.16,38.34,19.96,118.09
2017,3,23,0.0,29.4,38.15,21.55,115.4
2017,3,24,0.0,28.96,36.76,20.01,107.01
2017,3,25,0.0,27.86,36.9,19.91,121.73
2017,3,26,0.0,29.29,37.8,19.43,123.6
2017,3,27,0.0,30.62,39.81,20.34,121.16
2017,3,28,0.0,31.34,40.5,22.64,117.22
2017,3,29,0.0,31.8,41.19,21.76,122.31
2017,3,30,0.0,32.2,40.82,21.81,125.8
2017,3,31,0.0,31.25,40.84,20.98,115.87
2017,4,1,0.0,31.32,39.47,21.19,122.78
2017,4,2,0.0,32.3,40.44,22.6,124.24
2017,4,3,0.0,32.6,40.77,22.08,128.08
2017,4,4,0.0,32.8,40.29,23.3,104.65
2017,4,5,4.6,32.66,39.88,22.55,112.41
2017,4,6,0.47,30.87,38.08,23.23,116.0
2017,4,7,0.0,26.76,34.86,18.45,102.34
2017,4,8,0.0,26.52,35.37,15.72,121.66
2017,4,9,0.0,26.08,34.14,15.29,133.26
2017,4,10,0.0,26.99,35.76,16.65,132.43
2017,4,11,0.0,28.51,38.15,17.96,135.01
2017,4,12,0.0,30.3,40.27,19.56,129.46
2017,4,13,0.0,32.07,41.65,22.96,129.52
2017,4,14,0.0,33.37,42.75,25.69,126.63
2017,4,15,0.0,33.69,43.02,26.43,125.1
2017,4,16,0.0,35.12,43.99,25.17,134.52
2017,4,17,0.0,35.19,44.07,26.28,126.34
2017,4,18,0.0,35.42,44.13,26.32,125.86
2017,4,19,0.0,36.19,44.01,25.44,128.72
2017,4,20,0.0,37.15,44.62,26.88,131.32
2017,4,21,0.0,37.42,44.28,28.26,120.35
2017,4,22,0.0,36.58,42.77,28.67,114.09
2017,4,23,0.05,35.21,40.08,24.61,125.34
2017,4,24,0.0,33.69,37.73,25.27,126.91
2017,4,25,0.05,33.55,39.13,23.27,131.03
2017,4,26,0.19,34.0,39.93,23.45,126.3
2017,4,27,0.0,34.17,40.2,24.73,112.84
2017,4,28,6.16,32.4,39.0,22.72,106.34
2017,4,29,1.35,32.81,39.08,24.88,113.78
2017,4,30,0.36,32.99,38.97,24.93,122.2
2017,5,1,0.01,31.97,38.35,23.0,136.7
2017,5,2,0.0,33.86,41.27,22.83,130.74
2017,5,3,0.49,34.93,41.67,25.53,84.52
2017,5,4,0.32,33.7,40.23,25.02,135.62
2017,5,5,0.0,35.31,42.04,24.91,128.63
2017,5,6,0.0,36.33,43.03,26.62,134.21
2017,5,7,0.0,37.35,44.63,26.99,133.1
2017,5,8,0.0,38.02,44.44,28.64,124.71
2017,5,9,0.84,36.97,43.58,28.55,127.26
2017,5,10,0.13,38.55,44.33,27.05,120.27
2017,5,11,0.3,38.92,42.71,28.77,136.19
2017,5,12,0.0,38.47,42.66,29.28,125.06
2017,5,13,0.0,38.99,44.12,28.43,135.83
2017,5,14,0.29,38.87,44.75,29.08,128.82
2017,5,15,0.0,38.47,44.33,28.01,143.9
2017,5,16,0.0,39.34,42.83,29.76,131.88
2017,5,17,2.58,37.31,39.91,27.92,120.5
2017,5,18,0.11,36.68,40.59,27.13,128.05
2017,5,19,0.29,38.73,43.15,28.72,112.42
2017,5,20,0.49,37.79,41.62,28.83,119.91
2017,5,21,1.06,38.01,41.73,28.4,105.81
2017,5,22,0.56,35.28,38.31,25.58,63.39
2017,5,23,0.0,36.83,40.65,26.71,121.24
2017,5,24,0.02,39.59,43.21,29.69,125.87
2017,5,25,0.0,39.59,43.49,30.17,132.48
2017,5,26,0.0,40.58,45.69,29.93,134.4
2017,5,27,0.0,39.95,45.91,30.73,137.88
2017,5,28,1.53,39.55,43.7,29.02,128.74
2017,5,29,24.07,34.84,38.23,27.71,127.8
2017,5,30,0.0,34.77,38.52,25.86,128.67
2017,5,31,5.14,34.03,38.39,26.3,68.27
2017,6,1,2.67,34.19,38.44,26.05,115.21
2017,6,2,0.0,35.73,41.23,27.98,136.08
2017,6,3,0.02,36.53,43.95,27.65,140.41
2017,6,4,0.0,37.69,45.07,28.42,135.33
2017,6,5,0.0,38.95,44.3,31.58,131.01
2017,6,6,0.0,39.1,43.43,31.14,124.88
2017,6,7,0.18,39.67,39.69,31.0,113.86
2017,6,8,1.45,37.19,39.4,30.21,108.84
2017,6,9,0.85,37.19,39.18,28.17,118.09
2017,6,10,0.0,38.4,41.12,28.67,111.62
2017,6,11,0.47,37.3,40.91,29.43,137.87
2017,6,12,0.0,37.17,41.35,27.03,135.73
2017,6,13,0.99,37.71,41.91,30.07,129.23
2017,6,14,11.15,37.01,41.23,29.69,105.36
2017,6,15,1.89,34.58,38.8,27.08,131.47
