system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.49806827340993,28.96473277340984]}"
1,"{""type"":""Point"",""coordinates"":[76.4097027043376,28.729660869465345]}"
2,"{""type"":""Point"",""coordinates"":[76.62420701912576,28.810298376671142]}"
3,"{""type"":""Point"",""coordinates"":[76.43985077911505,29.03884076799858]}"
4,"{""type"":""Point"",""coordinates"":[76.71133661735857,28.87364530055442]}"
5,"{""type"":""Point"",""coordinates"":[76.41265350575596,28.787030441682155]}"
6,"{""type"":""Point"",""coordinates"":[76.50967403381203,28.87839961924879]}"
7,"{""type"":""Point"",""coordinates"":[76.57094434184296,28.81922637704531]}"
8,"{""type"":""Point"",""coordinates"":[76.73067390221303,28.917661544267542]}"
9,"{""type"":""Point"",""coordinates"":[76.56138317213518,28.923476136229187]}"
10,"{""type"":""Point"",""coordinates"":[76.5012303393297,28.96169641524512]}"
11,"{""type"":""Point"",""coordinates"":[76.46100706729321,28.86982299844799]}"
12,"{""type"":""Point"",""coordinates"":[76.40400147787088,28.924813620486905]}"
13,"{""type"":""Point"",""coordinates"":[76.60590700065646,28.845606221751208]}"
14,"{""type"":""Point"",""coordinates"":[76.63025410409796,28.810724518570627]}"
15,"{""type"":""Point"",""coordinates"":[76.4559571165638,29.034304250857957]}"
16,"{""type"":""Point"",""coordinates"":[76.68551570811961,28.884216964450804]}"
17,"{""type"":""Point"",""coordinates"":[76.56906131616178,28.789029226514753]}"
18,"{""type"":""Point"",""coordinates"":[76.57193712524284,29.051915011843192]}"
19,"{""type"":""Point"",""coordinates"":[76.56639889637819,28.742515646308316]}"
20,"{""type"":""Point"",""coordinates"":[76.49606019675144,29.007196801677097]}"
21,"{""type"":""Point"",""coordinates"":[76.73085725352337,28.906784135251435]}"
22,"{""type"":""Point"",""coordinates"":[76.36457870033892,28.92837037374722]}"
23,"{""type"":""Point"",""coordinates"":[76.6420843641583,28.905382221592596]}"
24,"{""type"":""Point"",""coordinates"":[76.37187203399738,28.803036299606454]}"
25,"{""type"":""Point"",""coordinates"":[76.39049370119156,28.972386367815208]}"
26,"{""type"":""Point"",""coordinates"":[76.33239419052498,29.068823735048507]}"
27,"{""type"":""Point"",""coordinates"":[76.76598554950894,28.79162531080509]}"
28,"{""type"":""Point"",""coordinates"":[76.46065721546209,28.840310686686415]}"
29,"{""type"":""Point"",""coordinates"":[76.35919584008838,28.896305126313194]}"
