system:time_start,ndre
"Dec 16, 2018",0.18
"Dec 16, 2018",0.194
"Dec 21, 2018",0.149
"Dec 21, 2018",0.174
"Dec 26, 2018",0.16
"Dec 26, 2018",0.187
"Dec 31, 2018",0.176
"Dec 31, 2018",0.18
"Jan 5, 2019",0.146
"Jan 20, 2019",0.264
"Jan 25, 2019",0.352
"Jan 25, 2019",0.324
"Feb 4, 2019",0.197
"Feb 9, 2019",0.473
"Feb 9, 2019",0.423
"Feb 19, 2019",0.287
"Feb 24, 2019",0.503
"Feb 24, 2019",0.431
"Mar 1, 2019",0.511
"Mar 1, 2019",0.435
"Mar 6, 2019",0.511
"Mar 6, 2019",0.427
"Mar 11, 2019",0.211
"Mar 16, 2019",0.427
"Mar 21, 2019",0.322
"Mar 21, 2019",0.292
"Mar 26, 2019",0.511
"Mar 26, 2019",0.397
"Mar 31, 2019",0.487
"Mar 31, 2019",0.369
"Apr 5, 2019",0.385
"Apr 5, 2019",0.264
"Apr 10, 2019",0.243
"Apr 10, 2019",0.185
"Apr 15, 2019",0.176
"Apr 20, 2019",0.092
"Apr 20, 2019",0.123
"Apr 25, 2019",0.106
"Apr 30, 2019",0.106
"Apr 30, 2019",0.107
"May 5, 2019",0.119
"May 5, 2019",0.137
"May 10, 2019",0.074
"May 10, 2019",0.089
"May 25, 2019",0.083
"May 25, 2019",0.112
"May 30, 2019",0.085
"May 30, 2019",0.101
"Jun 4, 2019",0.066
"Jun 4, 2019",0.08
"Jun 9, 2019",0.087
"Jun 9, 2019",0.092
"Jun 14, 2019",0.097
"Jun 14, 2019",0.1
"Jun 19, 2019",0.079
"Jun 19, 2019",0.074
"Jun 29, 2019",0.066
"Jun 29, 2019",0.067
"Jul 14, 2019",0.011
"Aug 13, 2019",0.152
"Aug 23, 2019",0.291
"Aug 23, 2019",0.273
"Aug 28, 2019",0.209
"Aug 28, 2019",0.165
"Sep 2, 2019",0.275
"Sep 12, 2019",0.348
"Sep 17, 2019",0.44
"Sep 17, 2019",0.384
"Oct 2, 2019",0.336
"Oct 2, 2019",0.26
"Oct 12, 2019",0.476
"Oct 12, 2019",0.372
"Oct 17, 2019",0.332
"Oct 17, 2019",0.272
"Oct 22, 2019",0.453
"Oct 27, 2019",0.3
"Oct 27, 2019",0.251
"Nov 6, 2019",0.272
"Nov 6, 2019",0.227
"Nov 11, 2019",0.147
"Nov 16, 2019",0.164
"Nov 16, 2019",0.142
"Dec 1, 2019",0.14
"Dec 1, 2019",0.132
"Jan 5, 2020",0.108
"Jan 5, 2020",0.098
"Jan 10, 2020",0.184
"Jan 10, 2020",0.153
"Jan 25, 2020",0.228
"Jan 30, 2020",0.292
"Jan 30, 2020",0.252
"Feb 4, 2020",0.217
"Feb 9, 2020",0.295
"Feb 14, 2020",0.408
"Feb 14, 2020",0.362
"Feb 24, 2020",0.369
"Feb 24, 2020",0.335
"Feb 29, 2020",0.253
"Mar 5, 2020",0.414
"Mar 5, 2020",0.38
"Mar 10, 2020",0.482
"Mar 10, 2020",0.403
"Mar 15, 2020",0.411
"Mar 15, 2020",0.388
"Mar 20, 2020",0.433
"Mar 25, 2020",0.383
"Mar 30, 2020",0.249
"Apr 4, 2020",0.351
"Apr 4, 2020",0.276
"Apr 14, 2020",0.166
"Apr 19, 2020",0.131
"Apr 24, 2020",0.119
"Apr 24, 2020",0.124
"Apr 29, 2020",0.109
"Apr 29, 2020",0.117
"May 4, 2020",0.08
"May 9, 2020",0.106
"May 9, 2020",0.093
"May 14, 2020",0.085
"May 14, 2020",0.085
"May 24, 2020",0.093
"May 24, 2020",0.095
"May 29, 2020",0.05
"Jun 3, 2020",0.062
"Jun 8, 2020",0.097
"Jun 8, 2020",0.093
"Jun 13, 2020",-0.012
"Jun 18, 2020",0.11
"Jun 18, 2020",0.106
"Jun 23, 2020",0.078
"Jun 23, 2020",0.06
"Jun 28, 2020",0.083
"Jun 28, 2020",0.08
"Jul 3, 2020",0.093
"Jul 3, 2020",0.1
"Jul 13, 2020",0.091
"Jul 13, 2020",0.115
"Jul 23, 2020",0.047
"Aug 2, 2020",0.111
"Aug 2, 2020",0.125
"Aug 7, 2020",0.148
"Sep 6, 2020",0.343
"Sep 6, 2020",0.285
"Sep 11, 2020",0.465
"Sep 11, 2020",0.367
"Sep 16, 2020",0.46
"Sep 16, 2020",0.358
"Sep 21, 2020",0.478
"Sep 21, 2020",0.355
"Oct 1, 2020",0.484
"Oct 1, 2020",0.367
"Oct 6, 2020",0.457
"Oct 6, 2020",0.352
"Oct 11, 2020",0.415
"Oct 16, 2020",0.398
"Oct 16, 2020",0.274
"Oct 21, 2020",0.334
"Oct 21, 2020",0.238
"Oct 26, 2020",0.202
"Oct 26, 2020",0.157
"Oct 31, 2020",0.22
"Oct 31, 2020",0.183
"Nov 5, 2020",0.158
"Nov 5, 2020",0.123
"Nov 10, 2020",0.129
"Nov 10, 2020",0.098
"Nov 15, 2020",0.066
"Nov 15, 2020",0.059
"Nov 20, 2020",0.171
"Nov 20, 2020",0.145
"Nov 30, 2020",0.142
"Nov 30, 2020",0.136
"Dec 5, 2020",0.118
"Dec 5, 2020",0.119
"Dec 10, 2020",0.128
"Dec 10, 2020",0.133
"Dec 15, 2020",0.195
"Dec 25, 2020",0.235
"Dec 25, 2020",0.23
"Jan 4, 2021",0.252
"Jan 14, 2021",0.06
"Jan 29, 2021",0.364
"Jan 29, 2021",0.265
"Feb 3, 2021",0.355
"Feb 3, 2021",0.317
"Feb 8, 2021",0.402
"Feb 8, 2021",0.346
"Feb 18, 2021",0.168
"Feb 23, 2021",0.476
"Feb 23, 2021",0.382
"Feb 28, 2021",0.484
"Feb 28, 2021",0.38
"Mar 5, 2021",0.51
"Mar 5, 2021",0.397
"Mar 10, 2021",0.476
"Mar 10, 2021",0.367
"Mar 10, 2021",0.236
"Mar 15, 2021",0.324
"Mar 20, 2021",0.434
"Mar 20, 2021",0.33
"Mar 30, 2021",0.275
"Mar 30, 2021",0.218
"Apr 4, 2021",0.221
"Apr 4, 2021",0.176
"Apr 9, 2021",0.17
"Apr 9, 2021",0.15
"Apr 14, 2021",0.122
"Apr 19, 2021",0.107
"Apr 19, 2021",0.112
"Apr 24, 2021",0.118
"Apr 24, 2021",0.124
"Apr 29, 2021",0.084
"Apr 29, 2021",0.082
"May 4, 2021",0.087
"May 9, 2021",0.066
"May 9, 2021",0.073
"May 14, 2021",0.08
"May 14, 2021",0.077
"May 24, 2021",0.114
"May 24, 2021",0.113
"May 29, 2021",0.081
"May 29, 2021",0.074
"Jun 3, 2021",0.112
"Jun 3, 2021",0.107
"Jun 8, 2021",0.089
"Jun 8, 2021",0.074
"Jun 23, 2021",0.124
"Jun 23, 2021",0.119
"Jun 28, 2021",0.106
"Jun 28, 2021",0.099
"Jul 8, 2021",0.099
"Jul 8, 2021",0.097
"Aug 12, 2021",0.154
"Aug 12, 2021",0.213
"Aug 17, 2021",0.224
"Aug 17, 2021",0.213
"Aug 27, 2021",0.366
"Aug 27, 2021",0.284
"Sep 21, 2021",0.444
"Oct 6, 2021",0.462
"Oct 6, 2021",0.351
"Oct 11, 2021",0.482
"Oct 11, 2021",0.374
"Oct 16, 2021",0.431
"Oct 16, 2021",0.314
"Oct 21, 2021",0.439
"Oct 21, 2021",0.349
"Oct 26, 2021",0.326
"Oct 26, 2021",0.26
"Oct 31, 2021",0.29
"Oct 31, 2021",0.239
"Nov 10, 2021",0.187
"Nov 10, 2021",0.133
"Nov 15, 2021",0.091
"Nov 15, 2021",0.072
"Nov 20, 2021",0.146
"Nov 20, 2021",0.113
"Nov 25, 2021",0.124
"Nov 25, 2021",0.116
"Dec 5, 2021",0.12
"Dec 10, 2021",0.138
"Dec 10, 2021",0.143
"Dec 15, 2021",0.144
"Dec 15, 2021",0.171
"Dec 20, 2021",0.192
"Dec 20, 2021",0.211
"Dec 25, 2021",0.13
"Dec 30, 2021",0.27
"Jan 29, 2022",0.427
"Jan 29, 2022",0.369
"Feb 8, 2022",0.4
"Feb 8, 2022",0.303
"Feb 13, 2022",0.495
"Feb 13, 2022",0.412
"Feb 18, 2022",0.5
"Feb 18, 2022",0.439
"Feb 28, 2022",0.533
"Feb 28, 2022",0.477
"Mar 5, 2022",0.519
"Mar 5, 2022",0.453
"Mar 10, 2022",0.512
"Mar 10, 2022",0.463
"Mar 15, 2022",0.509
"Mar 15, 2022",0.417
"Mar 20, 2022",0.468
"Mar 20, 2022",0.399
"Mar 25, 2022",0.446
"Mar 25, 2022",0.344
"Mar 30, 2022",0.392
"Mar 30, 2022",0.278
"Apr 4, 2022",0.255
"Apr 4, 2022",0.222
"Apr 9, 2022",0.21
"Apr 9, 2022",0.185
"Apr 14, 2022",0.17
"Apr 14, 2022",0.139
"Apr 19, 2022",0.151
"Apr 19, 2022",0.143
"Apr 24, 2022",0.141
"Apr 24, 2022",0.128
"Apr 29, 2022",0.139
"Apr 29, 2022",0.116
"May 4, 2022",0.118
"May 4, 2022",0.071
"May 9, 2022",0.138
"May 9, 2022",0.104
"May 14, 2022",0.117
"May 14, 2022",0.095
"May 19, 2022",0.112
"May 19, 2022",0.098
"May 24, 2022",0.113
"May 29, 2022",0.088
"May 29, 2022",0.096
"Jun 3, 2022",0.126
"Jun 3, 2022",0.127
"Jun 8, 2022",0.104
"Jun 8, 2022",0.093
"Jun 13, 2022",0.089
"Jun 23, 2022",0.117
"Jun 23, 2022",0.113
"Jul 8, 2022",0.103
"Jul 18, 2022",0.048
"Jul 18, 2022",0.075
"Aug 12, 2022",0.25
"Aug 27, 2022",0.293
"Sep 1, 2022",0.42
"Sep 1, 2022",0.368
"Sep 6, 2022",0.477
"Sep 6, 2022",0.358
"Sep 11, 2022",0.281
"Sep 21, 2022",0.375
"Sep 26, 2022",0.349
"Oct 1, 2022",0.505
"Oct 1, 2022",0.377
"Oct 6, 2022",0.446
"Oct 16, 2022",0.484
"Oct 16, 2022",0.384
"Oct 21, 2022",0.411
"Oct 21, 2022",0.327
"Oct 26, 2022",0.318
"Oct 26, 2022",0.248
"Oct 31, 2022",0.15
"Oct 31, 2022",0.117
"Nov 5, 2022",0.206
"Nov 5, 2022",0.127
"Nov 10, 2022",0.149
"Nov 10, 2022",0.128
"Nov 15, 2022",0.152
"Nov 20, 2022",0.142
"Nov 20, 2022",0.174
"Nov 25, 2022",0.203
"Nov 25, 2022",0.205
"Nov 30, 2022",0.16
"Nov 30, 2022",0.185
"Dec 5, 2022",0.17
"Dec 5, 2022",0.196
