system:time_start,ndvi
"Dec 16, 2018",0.291
"Dec 16, 2018",0.325
"Dec 21, 2018",0.228
"Dec 21, 2018",0.265
"Dec 26, 2018",0.261
"Dec 26, 2018",0.295
"Dec 31, 2018",0.293
"Dec 31, 2018",0.317
"Jan 5, 2019",0.231
"Jan 20, 2019",0.416
"Jan 25, 2019",0.526
"Jan 25, 2019",0.477
"Feb 4, 2019",0.283
"Feb 9, 2019",0.665
"Feb 9, 2019",0.616
"Feb 19, 2019",0.386
"Feb 24, 2019",0.675
"Feb 24, 2019",0.615
"Mar 1, 2019",0.705
"Mar 1, 2019",0.653
"Mar 6, 2019",0.674
"Mar 6, 2019",0.596
"Mar 11, 2019",0.318
"Mar 16, 2019",0.572
"Mar 21, 2019",0.437
"Mar 21, 2019",0.411
"Mar 26, 2019",0.689
"Mar 26, 2019",0.557
"Mar 31, 2019",0.659
"Mar 31, 2019",0.542
"Apr 5, 2019",0.589
"Apr 5, 2019",0.404
"Apr 10, 2019",0.397
"Apr 10, 2019",0.323
"Apr 15, 2019",0.303
"Apr 20, 2019",0.197
"Apr 20, 2019",0.231
"Apr 25, 2019",0.179
"Apr 30, 2019",0.177
"Apr 30, 2019",0.186
"May 5, 2019",0.201
"May 5, 2019",0.222
"May 10, 2019",0.145
"May 10, 2019",0.162
"May 25, 2019",0.158
"May 25, 2019",0.193
"May 30, 2019",0.144
"May 30, 2019",0.173
"Jun 4, 2019",0.134
"Jun 4, 2019",0.148
"Jun 9, 2019",0.157
"Jun 9, 2019",0.167
"Jun 14, 2019",0.17
"Jun 14, 2019",0.171
"Jun 19, 2019",0.149
"Jun 19, 2019",0.15
"Jun 29, 2019",0.138
"Jun 29, 2019",0.136
"Jul 14, 2019",0.046
"Aug 13, 2019",0.347
"Aug 23, 2019",0.499
"Aug 23, 2019",0.483
"Aug 28, 2019",0.346
"Aug 28, 2019",0.315
"Sep 2, 2019",0.412
"Sep 12, 2019",0.518
"Sep 17, 2019",0.658
"Sep 17, 2019",0.602
"Oct 2, 2019",0.474
"Oct 2, 2019",0.376
"Oct 12, 2019",0.708
"Oct 12, 2019",0.558
"Oct 17, 2019",0.486
"Oct 17, 2019",0.418
"Oct 22, 2019",0.712
"Oct 27, 2019",0.481
"Oct 27, 2019",0.407
"Nov 6, 2019",0.474
"Nov 6, 2019",0.421
"Nov 11, 2019",0.248
"Nov 16, 2019",0.287
"Nov 16, 2019",0.267
"Dec 1, 2019",0.222
"Dec 1, 2019",0.214
"Jan 5, 2020",0.205
"Jan 5, 2020",0.215
"Jan 10, 2020",0.313
"Jan 10, 2020",0.284
"Jan 25, 2020",0.399
"Jan 30, 2020",0.447
"Jan 30, 2020",0.399
"Feb 4, 2020",0.372
"Feb 9, 2020",0.444
"Feb 14, 2020",0.573
"Feb 14, 2020",0.536
"Feb 24, 2020",0.506
"Feb 24, 2020",0.461
"Feb 29, 2020",0.342
"Mar 5, 2020",0.56
"Mar 5, 2020",0.536
"Mar 10, 2020",0.64
"Mar 10, 2020",0.595
"Mar 15, 2020",0.548
"Mar 15, 2020",0.556
"Mar 20, 2020",0.588
