system:time_start,savi
"Dec 16, 2018",0.169
"Dec 16, 2018",0.194
"Dec 21, 2018",0.135
"Dec 21, 2018",0.163
"Dec 26, 2018",0.151
"Dec 26, 2018",0.176
"Dec 31, 2018",0.169
"Dec 31, 2018",0.193
"Jan 5, 2019",0.148
"Jan 20, 2019",0.279
"Jan 25, 2019",0.334
"Jan 25, 2019",0.299
"Feb 4, 2019",0.23
"Feb 9, 2019",0.448
"Feb 9, 2019",0.395
"Feb 19, 2019",0.297
"Feb 24, 2019",0.473
"Feb 24, 2019",0.411
"Mar 1, 2019",0.491
"Mar 1, 2019",0.425
"Mar 6, 2019",0.482
"Mar 6, 2019",0.404
"Mar 11, 2019",0.209
"Mar 16, 2019",0.396
"Mar 21, 2019",0.263
"Mar 21, 2019",0.255
"Mar 26, 2019",0.457
"Mar 26, 2019",0.356
"Mar 31, 2019",0.421
"Mar 31, 2019",0.334
"Apr 5, 2019",0.362
"Apr 5, 2019",0.245
"Apr 10, 2019",0.231
"Apr 10, 2019",0.188
"Apr 15, 2019",0.184
"Apr 20, 2019",0.117
"Apr 20, 2019",0.15
"Apr 25, 2019",0.12
"Apr 30, 2019",0.126
"Apr 30, 2019",0.127
"May 5, 2019",0.141
"May 5, 2019",0.154
"May 10, 2019",0.102
"May 10, 2019",0.115
"May 25, 2019",0.107
"May 25, 2019",0.128
"May 30, 2019",0.101
"May 30, 2019",0.119
"Jun 4, 2019",0.091
"Jun 4, 2019",0.102
"Jun 9, 2019",0.107
"Jun 9, 2019",0.114
"Jun 14, 2019",0.117
"Jun 14, 2019",0.117
"Jun 19, 2019",0.101
"Jun 19, 2019",0.103
"Jun 29, 2019",0.099
"Jun 29, 2019",0.097
"Jul 14, 2019",0.039
"Aug 13, 2019",0.178
"Aug 23, 2019",0.295
"Aug 23, 2019",0.295
"Aug 28, 2019",0.207
"Aug 28, 2019",0.202
"Sep 2, 2019",0.267
"Sep 12, 2019",0.338
"Sep 17, 2019",0.422
"Sep 17, 2019",0.376
"Oct 2, 2019",0.297
"Oct 2, 2019",0.237
"Oct 12, 2019",0.444
"Oct 12, 2019",0.348
"Oct 17, 2019",0.316
"Oct 17, 2019",0.266
"Oct 22, 2019",0.453
"Oct 27, 2019",0.317
"Oct 27, 2019",0.263
"Nov 6, 2019",0.291
"Nov 6, 2019",0.25
"Nov 11, 2019",0.165
"Nov 16, 2019",0.181
"Nov 16, 2019",0.159
"Dec 1, 2019",0.129
"Dec 1, 2019",0.122
"Jan 5, 2020",0.117
"Jan 5, 2020",0.127
"Jan 10, 2020",0.173
"Jan 10, 2020",0.169
"Jan 25, 2020",0.239
"Jan 30, 2020",0.256
"Jan 30, 2020",0.243
"Feb 4, 2020",0.243
"Feb 9, 2020",0.295
"Feb 14, 2020",0.361
"Feb 14, 2020",0.342
"Feb 24, 2020",0.353
"Feb 24, 2020",0.32
"Feb 29, 2020",0.245
"Mar 5, 2020",0.399
"Mar 5, 2020",0.366
"Mar 10, 2020",0.455
"Mar 10, 2020",0.415
"Mar 15, 2020",0.417
"Mar 15, 2020",0.387
"Mar 20, 2020",0.428
"Mar 25, 2020",0.398
"Mar 30, 2020",0.235
"Apr 4, 2020",0.376
"Apr 4, 2020",0.282
"Apr 14, 2020",0.177
"Apr 19, 2020",0.156
"Apr 24, 2020",0.141
"Apr 24, 2020",0.148
"Apr 29, 2020",0.135
"Apr 29, 2020",0.137
"May 4, 2020",0.108
"May 9, 2020",0.131
"May 9, 2020",0.12
"May 14, 2020",0.107
"May 14, 2020",0.108
"May 24, 2020",0.108
"May 24, 2020",0.119
"May 29, 2020",0.07
"Jun 3, 2020",0.096
"Jun 8, 2020",0.112
"Jun 8, 2020",0.115
"Jun 13, 2020",0.037
"Jun 18, 2020",0.131
"Jun 18, 2020",0.133
"Jun 23, 2020",0.104
"Jun 23, 2020",0.091
"Jun 28, 2020",0.111
"Jun 28, 2020",0.113
"Jul 3, 2020",0.118
"Jul 3, 2020",0.134
"Jul 13, 2020",0.13
"Jul 13, 2020",0.148
"Jul 23, 2020",0.098
"Aug 2, 2020",0.158
"Aug 2, 2020",0.166
"Aug 7, 2020",0.19
"Sep 6, 2020",0.323
"Sep 6, 2020",0.279
"Sep 11, 2020",0.42
"Sep 11, 2020",0.34
"Sep 16, 2020",0.408
"Sep 16, 2020",0.32
"Sep 21, 2020",0.424
"Sep 21, 2020",0.326
"Oct 1, 2020",0.442
"Oct 1, 2020",0.338
"Oct 6, 2020",0.43
"Oct 6, 2020",0.327
"Oct 11, 2020",0.405
"Oct 16, 2020",0.387
"Oct 16, 2020",0.26
"Oct 21, 2020",0.347
"Oct 21, 2020",0.235
"Oct 26, 2020",0.214
"Oct 26, 2020",0.165
"Oct 31, 2020",0.231
"Oct 31, 2020",0.19
"Nov 5, 2020",0.172
"Nov 5, 2020",0.133
"Nov 10, 2020",0.134
"Nov 10, 2020",0.11
"Nov 15, 2020",0.079
"Nov 15, 2020",0.074
"Nov 20, 2020",0.158
"Nov 20, 2020",0.146
"Nov 30, 2020",0.138
"Nov 30, 2020",0.135
"Dec 5, 2020",0.119
"Dec 5, 2020",0.12
"Dec 10, 2020",0.129
"Dec 10, 2020",0.142
"Dec 15, 2020",0.181
"Dec 25, 2020",0.213
"Dec 25, 2020",0.213
"Jan 4, 2021",0.242
"Jan 14, 2021",0.063
"Jan 29, 2021",0.367
"Jan 29, 2021",0.311
"Feb 3, 2021",0.322
"Feb 3, 2021",0.298
"Feb 8, 2021",0.382
"Feb 8, 2021",0.326
"Feb 18, 2021",0.193
"Feb 23, 2021",0.417
"Feb 23, 2021",0.336
"Feb 28, 2021",0.431
"Feb 28, 2021",0.343
"Mar 5, 2021",0.441
"Mar 5, 2021",0.355
"Mar 10, 2021",0.445
"Mar 10, 2021",0.352
"Mar 10, 2021",0.257
"Mar 15, 2021",0.309
"Mar 20, 2021",0.398
"Mar 20, 2021",0.309
"Mar 30, 2021",0.261
"Mar 30, 2021",0.206
"Apr 4, 2021",0.228
"Apr 4, 2021",0.183
"Apr 9, 2021",0.179
"Apr 9, 2021",0.162
"Apr 14, 2021",0.141
"Apr 19, 2021",0.13
"Apr 19, 2021",0.132
"Apr 24, 2021",0.146
"Apr 24, 2021",0.151
"Apr 29, 2021",0.104
"Apr 29, 2021",0.103
"May 4, 2021",0.111
"May 9, 2021",0.083
"May 9, 2021",0.093
"May 14, 2021",0.098
"May 14, 2021",0.096
"May 24, 2021",0.129
"May 24, 2021",0.128
"May 29, 2021",0.097
"May 29, 2021",0.098
"Jun 3, 2021",0.13
"Jun 3, 2021",0.129
"Jun 8, 2021",0.113
"Jun 8, 2021",0.105
"Jun 23, 2021",0.146
"Jun 23, 2021",0.144
"Jun 28, 2021",0.133
"Jun 28, 2021",0.124
"Jul 8, 2021",0.13
"Jul 8, 2021",0.13
"Aug 12, 2021",0.205
"Aug 12, 2021",0.229
"Aug 17, 2021",0.238
"Aug 17, 2021",0.236
"Aug 27, 2021",0.358
"Aug 27, 2021",0.284
"Sep 21, 2021",0.378
"Oct 6, 2021",0.405
"Oct 6, 2021",0.326
"Oct 11, 2021",0.433
"Oct 11, 2021",0.348
"Oct 16, 2021",0.434
"Oct 16, 2021",0.328
"Oct 21, 2021",0.444
"Oct 21, 2021",0.332
"Oct 26, 2021",0.363
"Oct 26, 2021",0.282
"Oct 31, 2021",0.313
"Oct 31, 2021",0.24
"Nov 10, 2021",0.197
"Nov 10, 2021",0.14
"Nov 15, 2021",0.105
"Nov 15, 2021",0.083
"Nov 20, 2021",0.136
"Nov 20, 2021",0.12
"Nov 25, 2021",0.127
"Nov 25, 2021",0.121
"Dec 5, 2021",0.117
"Dec 10, 2021",0.124
"Dec 10, 2021",0.138
"Dec 15, 2021",0.13
"Dec 15, 2021",0.172
"Dec 20, 2021",0.164
"Dec 20, 2021",0.197
"Dec 25, 2021",0.144
"Dec 30, 2021",0.262
"Jan 29, 2022",0.418
"Jan 29, 2022",0.355
"Feb 8, 2022",0.401
"Feb 8, 2022",0.294
"Feb 13, 2022",0.464
"Feb 13, 2022",0.381
"Feb 18, 2022",0.454
"Feb 18, 2022",0.396
"Feb 28, 2022",0.484
"Feb 28, 2022",0.444
"Mar 5, 2022",0.479
"Mar 5, 2022",0.437
"Mar 10, 2022",0.473
"Mar 10, 2022",0.448
"Mar 15, 2022",0.474
"Mar 15, 2022",0.406
"Mar 20, 2022",0.402
"Mar 20, 2022",0.366
"Mar 25, 2022",0.386
"Mar 25, 2022",0.322
"Mar 30, 2022",0.332
"Mar 30, 2022",0.247
"Apr 4, 2022",0.231
"Apr 4, 2022",0.212
"Apr 9, 2022",0.204
"Apr 9, 2022",0.187
"Apr 14, 2022",0.187
"Apr 14, 2022",0.169
"Apr 19, 2022",0.182
"Apr 19, 2022",0.169
"Apr 24, 2022",0.168
"Apr 24, 2022",0.157
"Apr 29, 2022",0.165
"Apr 29, 2022",0.137
"May 4, 2022",0.132
"May 4, 2022",0.098
"May 9, 2022",0.154
"May 9, 2022",0.129
"May 14, 2022",0.144
"May 14, 2022",0.132
"May 19, 2022",0.141
"May 19, 2022",0.13
"May 24, 2022",0.145
"May 29, 2022",0.117
"May 29, 2022",0.121
"Jun 3, 2022",0.157
"Jun 3, 2022",0.145
"Jun 8, 2022",0.131
"Jun 8, 2022",0.116
"Jun 13, 2022",0.115
"Jun 23, 2022",0.151
"Jun 23, 2022",0.153
"Jul 8, 2022",0.143
"Jul 18, 2022",0.093
"Jul 18, 2022",0.118
"Aug 12, 2022",0.265
"Aug 27, 2022",0.268
"Sep 1, 2022",0.377
"Sep 1, 2022",0.362
"Sep 6, 2022",0.422
"Sep 6, 2022",0.345
"Sep 11, 2022",0.263
"Sep 21, 2022",0.327
"Sep 26, 2022",0.32
"Oct 1, 2022",0.437
"Oct 1, 2022",0.352
"Oct 6, 2022",0.437
"Oct 16, 2022",0.467
"Oct 16, 2022",0.365
"Oct 21, 2022",0.422
"Oct 21, 2022",0.333
"Oct 26, 2022",0.351
"Oct 26, 2022",0.265
"Oct 31, 2022",0.197
"Oct 31, 2022",0.161
"Nov 5, 2022",0.258
"Nov 5, 2022",0.153
"Nov 10, 2022",0.179
"Nov 10, 2022",0.145
"Nov 15, 2022",0.162
"Nov 20, 2022",0.152
"Nov 20, 2022",0.181
"Nov 25, 2022",0.182
"Nov 25, 2022",0.185
"Nov 30, 2022",0.154
"Nov 30, 2022",0.181
"Dec 5, 2022",0.152
"Dec 5, 2022",0.182
