-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 10/12/2021 
Location: Latitude  28.9617   Longitude 76.5012 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 220.73 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0.0,13.67,22.18,8.02,44.05
2017,1,2,0.03,15.07,23.9,9.12,37.88
2017,1,3,0.0,15.54,24.51,9.2,51.15
2017,1,4,0.0,15.15,25.23,9.53,52.52
2017,1,5,0.0,15.43,25.53,12.55,56.03
2017,1,6,2.65,15.39,24.96,8.46,59.41
2017,1,7,5.26,13.76,20.64,10.4,24.9
2017,1,8,0.0,12.28,19.87,6.57,39.55
2017,1,9,0.0,10.69,18.56,5.74,47.6
2017,1,10,0.0,8.48,18.2,2.15,66.23
2017,1,11,0.0,7.89,17.92,1.25,70.0
2017,1,12,0.0,8.85,19.01,2.49,63.62
2017,1,13,0.0,9.04,20.29,4.4,58.46
2017,1,14,0.0,10.29,20.63,5.68,47.84
2017,1,15,0.02,12.19,22.92,5.45,59.4
2017,1,16,0.02,11.76,20.73,6.29,52.48
2017,1,17,0.0,10.4,19.16,3.7,52.41
2017,1,18,0.0,11.74,21.2,6.6,59.69
2017,1,19,0.0,11.51,20.4,4.63,68.06
2017,1,20,0.0,11.28,21.26,3.67,68.1
2017,1,21,0.31,13.09,21.35,7.73,43.47
2017,1,22,1.01,16.01,25.23,9.43,46.84
2017,1,23,0.0,15.55,25.02,8.1,58.93
2017,1,24,0.0,16.48,24.94,10.76,58.95
2017,1,25,3.25,17.3,24.98,12.19,42.97
2017,1,26,30.88,14.58,18.84,10.71,9.84
