system:index,.geo
0,"{""type"":""Point"",""coordinates"":[74.74652947572365,29.65341212712323]}"
1,"{""type"":""Point"",""coordinates"":[75.22500451466736,29.540868570415313]}"
2,"{""type"":""Point"",""coordinates"":[75.2728422361269,29.533492376326677]}"
3,"{""type"":""Point"",""coordinates"":[74.65063723734738,29.731820384564134]}"
4,"{""type"":""Point"",""coordinates"":[75.07449240140637,29.750980874036948]}"
5,"{""type"":""Point"",""coordinates"":[74.89232737098972,29.450323633885457]}"
6,"{""type"":""Point"",""coordinates"":[74.94922536534266,29.48817695122803]}"
7,"{""type"":""Point"",""coordinates"":[75.09356733752873,29.67060814768006]}"
8,"{""type"":""Point"",""coordinates"":[74.97469499968784,29.815102364112704]}"
9,"{""type"":""Point"",""coordinates"":[74.80621646333034,29.720953827214487]}"
10,"{""type"":""Point"",""coordinates"":[74.75713640249724,29.654223435805893]}"
11,"{""type"":""Point"",""coordinates"":[74.8720268978318,29.589871438340737]}"
12,"{""type"":""Point"",""coordinates"":[74.72508004680837,29.576393468367908]}"
13,"{""type"":""Point"",""coordinates"":[75.0708778967132,29.63289249835769]}"
14,"{""type"":""Point"",""coordinates"":[75.27317889461136,29.524172789318833]}"
15,"{""type"":""Point"",""coordinates"":[74.67669236623811,29.733103609134712]}"
16,"{""type"":""Point"",""coordinates"":[75.13666912468118,29.51150107216982]}"
17,"{""type"":""Point"",""coordinates"":[75.1245866035363,29.63845938326619]}"
18,"{""type"":""Point"",""coordinates"":[74.92316544354935,29.382813948799136]}"
19,"{""type"":""Point"",""coordinates"":[74.732683765029,29.357839768342636]}"
20,"{""type"":""Point"",""coordinates"":[74.80087477900784,29.509744517027194]}"
21,"{""type"":""Point"",""coordinates"":[74.99497051895192,29.796852349948505]}"
22,"{""type"":""Point"",""coordinates"":[74.93679043549025,29.74424516354089]}"
23,"{""type"":""Point"",""coordinates"":[75.10370476103172,29.476027533237257]}"
24,"{""type"":""Point"",""coordinates"":[74.62169819926332,29.538880580059526]}"
25,"{""type"":""Point"",""coordinates"":[74.745562840149,29.45412386821715]}"
26,"{""type"":""Point"",""coordinates"":[74.85623140587008,29.87911727719016]}"
27,"{""type"":""Point"",""coordinates"":[75.17152026317493,29.266484384923928]}"
28,"{""type"":""Point"",""coordinates"":[74.90457306361343,29.5602422244937]}"
29,"{""type"":""Point"",""coordinates"":[74.99216082666273,29.74934684539392]}"
