system:time_start,ndre
"Dec 14, 2018",0.311
"Dec 14, 2018",0.312
"Dec 14, 2018",0.254
"Dec 14, 2018",0.279
"Dec 19, 2018",0.333
"Dec 19, 2018",0.357
"Dec 19, 2018",0.304
"Dec 19, 2018",0.329
"Dec 24, 2018",0.298
"Dec 24, 2018",0.23
"Dec 24, 2018",0.274
"Dec 29, 2018",0.398
"Dec 29, 2018",0.404
"Dec 29, 2018",0.368
"Dec 29, 2018",0.375
"Jan 8, 2019",0.283
"Jan 13, 2019",0.402
"Jan 13, 2019",0.419
"Jan 13, 2019",0.35
"Jan 13, 2019",0.365
"Jan 23, 2019",0.48
"Jan 28, 2019",0.614
"Jan 28, 2019",0.566
"Jan 28, 2019",0.596
"Jan 28, 2019",0.566
"Feb 17, 2019",0.607
"Feb 17, 2019",0.56
"Feb 22, 2019",0.545
"Feb 22, 2019",0.607
"Feb 22, 2019",0.565
"Feb 27, 2019",0.641
"Feb 27, 2019",0.623
"Feb 27, 2019",0.619
"Feb 27, 2019",0.589
"Mar 9, 2019",0.657
"Mar 9, 2019",0.625
"Mar 9, 2019",0.63
"Mar 9, 2019",0.596
"Mar 14, 2019",0.369
"Mar 19, 2019",0.579
"Mar 19, 2019",0.572
"Mar 19, 2019",0.62
"Mar 19, 2019",0.5
"Mar 19, 2019",0.521
"Mar 19, 2019",0.561
"Mar 19, 2019",0.495
"Mar 24, 2019",0.463
"Mar 24, 2019",0.467
"Mar 24, 2019",0.448
"Mar 29, 2019",0.314
"Apr 3, 2019",0.305
"Apr 8, 2019",0.26
"Apr 8, 2019",0.211
"Apr 8, 2019",0.195
"Apr 8, 2019",0.18
"Apr 18, 2019",0.141
"Apr 18, 2019",0.154
"Apr 18, 2019",0.073
"Apr 18, 2019",0.09
"Apr 23, 2019",0.131
"Apr 23, 2019",0.103
"Apr 23, 2019",0.076
"Apr 23, 2019",0.078
"Apr 28, 2019",0.146
"Apr 28, 2019",0.113
"Apr 28, 2019",0.081
"Apr 28, 2019",0.077
"May 3, 2019",0.141
"May 3, 2019",0.1
"May 3, 2019",0.072
"May 3, 2019",0.081
"May 8, 2019",0.118
"May 8, 2019",0.103
"May 8, 2019",0.068
"May 8, 2019",0.071
"May 13, 2019",0.032
"May 13, 2019",0.04
"May 18, 2019",0.125
"May 18, 2019",0.092
"May 18, 2019",0.036
"May 18, 2019",0.049
"May 28, 2019",0.103
"May 28, 2019",0.114
"May 28, 2019",0.057
"May 28, 2019",0.072
"Jun 2, 2019",0.076
"Jun 2, 2019",0.075
"Jun 2, 2019",0.047
"Jun 2, 2019",0.06
"Jun 7, 2019",0.097
"Jun 7, 2019",0.096
"Jun 7, 2019",0.06
