system:time_start,ndvi
"Dec 14, 2018",0.42
"Dec 14, 2018",0.47
"Dec 14, 2018",0.4
"Dec 14, 2018",0.432
"Dec 19, 2018",0.442
"Dec 19, 2018",0.497
"Dec 19, 2018",0.448
"Dec 19, 2018",0.475
"Dec 24, 2018",0.384
"Dec 24, 2018",0.332
"Dec 24, 2018",0.4
"Dec 29, 2018",0.535
"Dec 29, 2018",0.58
"Dec 29, 2018",0.559
"Dec 29, 2018",0.53
"Jan 8, 2019",0.397
"Jan 13, 2019",0.61
"Jan 13, 2019",0.595
"Jan 13, 2019",0.498
"Jan 13, 2019",0.505
"Jan 23, 2019",0.687
"Jan 28, 2019",0.788
"Jan 28, 2019",0.758
"Jan 28, 2019",0.792
"Jan 28, 2019",0.734
"Feb 17, 2019",0.763
"Feb 17, 2019",0.713
"Feb 22, 2019",0.708
"Feb 22, 2019",0.783
"Feb 22, 2019",0.74
"Feb 27, 2019",0.828
"Feb 27, 2019",0.816
"Feb 27, 2019",0.817
"Feb 27, 2019",0.779
"Mar 9, 2019",0.82
"Mar 9, 2019",0.804
"Mar 9, 2019",0.818
"Mar 9, 2019",0.778
"Mar 14, 2019",0.509
"Mar 19, 2019",0.769
"Mar 19, 2019",0.757
"Mar 19, 2019",0.817
"Mar 19, 2019",0.654
"Mar 19, 2019",0.696
"Mar 19, 2019",0.754
"Mar 19, 2019",0.661
"Mar 24, 2019",0.695
"Mar 24, 2019",0.691
"Mar 24, 2019",0.622
"Mar 29, 2019",0.46
"Apr 3, 2019",0.52
"Apr 8, 2019",0.393
"Apr 8, 2019",0.346
"Apr 8, 2019",0.333
"Apr 8, 2019",0.298
"Apr 18, 2019",0.216
"Apr 18, 2019",0.252
"Apr 18, 2019",0.13
"Apr 18, 2019",0.159
"Apr 23, 2019",0.225
"Apr 23, 2019",0.198
"Apr 23, 2019",0.152
"Apr 23, 2019",0.149
"Apr 28, 2019",0.159
"Apr 28, 2019",0.177
"Apr 28, 2019",0.136
"Apr 28, 2019",0.131
"May 3, 2019",0.209
"May 3, 2019",0.163
"May 3, 2019",0.129
"May 3, 2019",0.138
"May 8, 2019",0.113
"May 8, 2019",0.16
"May 8, 2019",0.118
"May 8, 2019",0.118
"May 13, 2019",0.087
"May 13, 2019",0.096
"May 18, 2019",0.104
"May 18, 2019",0.163
"May 18, 2019",0.104
"May 18, 2019",0.114
"May 28, 2019",0.103
"May 28, 2019",0.177
"May 28, 2019",0.103
"May 28, 2019",0.131
"Jun 2, 2019",0.12
"Jun 2, 2019",0.145
"Jun 2, 2019",0.1
"Jun 2, 2019",0.132
"Jun 7, 2019",0.093
"Jun 7, 2019",0.173
"Jun 7, 2019",0.108
"Jun 7, 2019",0.15
"Jun 12, 2019",0.075
"Jun 12, 2019",0.116
"Jun 12, 2019",0.087
"Jun 12, 2019",0.112
"Jun 17, 2019",0.085
"Jun 17, 2019",0.117
"Jun 17, 2019",0.124
"Jun 22, 2019",0.078
"Jun 22, 2019",0.159
"Jun 22, 2019",0.13
"Jun 22, 2019",0.164
"Jul 2, 2019",0.098
"Jul 2, 2019",0.218
"Jul 2, 2019",0.142
"Jul 2, 2019",0.186
"Jul 7, 2019",0.158
"Jul 7, 2019",0.235
"Jul 7, 2019",0.206
"Aug 6, 2019",0.668
