system:time_start,savi
"Dec 14, 2018",0.242
"Dec 14, 2018",0.292
"Dec 14, 2018",0.236
"Dec 14, 2018",0.261
"Dec 19, 2018",0.247
"Dec 19, 2018",0.314
"Dec 19, 2018",0.271
"Dec 19, 2018",0.301
"Dec 24, 2018",0.258
"Dec 24, 2018",0.226
"Dec 24, 2018",0.27
"Dec 29, 2018",0.323
"Dec 29, 2018",0.366
"Dec 29, 2018",0.345
"Dec 29, 2018",0.336
"Jan 8, 2019",0.288
"Jan 13, 2019",0.361
"Jan 13, 2019",0.386
"Jan 13, 2019",0.329
"Jan 13, 2019",0.34
"Jan 23, 2019",0.458
"Jan 28, 2019",0.499
"Jan 28, 2019",0.5
"Jan 28, 2019",0.527
"Jan 28, 2019",0.498
"Feb 17, 2019",0.573
"Feb 17, 2019",0.523
"Feb 22, 2019",0.5
"Feb 22, 2019",0.566
"Feb 22, 2019",0.529
"Feb 27, 2019",0.575
"Feb 27, 2019",0.572
"Feb 27, 2019",0.544
"Feb 27, 2019",0.547
"Mar 9, 2019",0.561
"Mar 9, 2019",0.549
"Mar 9, 2019",0.564
"Mar 9, 2019",0.523
"Mar 14, 2019",0.349
"Mar 19, 2019",0.494
"Mar 19, 2019",0.496
"Mar 19, 2019",0.547
"Mar 19, 2019",0.436
"Mar 19, 2019",0.443
"Mar 19, 2019",0.499
"Mar 19, 2019",0.438
"Mar 24, 2019",0.444
"Mar 24, 2019",0.446
"Mar 24, 2019",0.411
"Mar 29, 2019",0.323
"Apr 3, 2019",0.31
"Apr 8, 2019",0.245
"Apr 8, 2019",0.214
"Apr 8, 2019",0.208
"Apr 8, 2019",0.19
"Apr 18, 2019",0.128
"Apr 18, 2019",0.154
"Apr 18, 2019",0.085
"Apr 18, 2019",0.1
"Apr 23, 2019",0.14
"Apr 23, 2019",0.128
"Apr 23, 2019",0.101
"Apr 23, 2019",0.098
"Apr 28, 2019",0.116
"Apr 28, 2019",0.12
"Apr 28, 2019",0.096
"Apr 28, 2019",0.093
"May 3, 2019",0.144
"May 3, 2019",0.108
"May 3, 2019",0.093
"May 3, 2019",0.097
"May 8, 2019",0.081
"May 8, 2019",0.107
"May 8, 2019",0.077
"May 8, 2019",0.085
"May 13, 2019",0.059
"May 13, 2019",0.07
"May 18, 2019",0.079
"May 18, 2019",0.113
"May 18, 2019",0.068
"May 18, 2019",0.082
"May 28, 2019",0.08
"May 28, 2019",0.123
"May 28, 2019",0.076
"May 28, 2019",0.094
"Jun 2, 2019",0.087
"Jun 2, 2019",0.098
"Jun 2, 2019",0.071
"Jun 2, 2019",0.089
"Jun 7, 2019",0.074
"Jun 7, 2019",0.121
"Jun 7, 2019",0.075
"Jun 7, 2019",0.106
"Jun 12, 2019",0.055
"Jun 12, 2019",0.083
"Jun 12, 2019",0.061
"Jun 12, 2019",0.08
"Jun 17, 2019",0.064
"Jun 17, 2019",0.088
"Jun 17, 2019",0.088
"Jun 22, 2019",0.061
"Jun 22, 2019",0.116
"Jun 22, 2019",0.093
"Jun 22, 2019",0.12
"Jul 2, 2019",0.074
"Jul 2, 2019",0.157
"Jul 2, 2019",0.099
"Jul 2, 2019",0.134
"Jul 7, 2019",0.133
"Jul 7, 2019",0.177
"Jul 7, 2019",0.152
"Aug 6, 2019",0.506
"Aug 6, 2019",0.385
"Aug 11, 2019",0.081
"Aug 11, 2019",0.402
"Aug 11, 2019",0.364
"Aug 21, 2019",0.468
"Aug 21, 2019",0.529
"Aug 21, 2019",0.503
"Aug 21, 2019",0.487
"Aug 26, 2019",0.301
"Aug 31, 2019",0.207
"Aug 31, 2019",0.332
"Aug 31, 2019",0.407
"Aug 31, 2019",0.399
"Sep 5, 2019",0.536
"Sep 10, 2019",0.419
"Sep 10, 2019",0.535
"Sep 10, 2019",0.55
"Sep 10, 2019",0.462
"Sep 15, 2019",0.373
"Sep 15, 2019",0.459
"Sep 15, 2019",0.539
"Sep 15, 2019",0.412
"Sep 20, 2019",0.286
"Sep 20, 2019",0.379
"Sep 20, 2019",0.287
"Sep 20, 2019",0.348
"Sep 25, 2019",0.309
"Sep 25, 2019",0.457
"Sep 25, 2019",0.477
"Sep 25, 2019",0.389
"Sep 30, 2019",0.228
"Oct 5, 2019",0.257
"Oct 5, 2019",0.406
"Oct 5, 2019",0.435
"Oct 5, 2019",0.36
"Oct 10, 2019",0.306
"Oct 10, 2019",0.307
"Oct 10, 2019",0.406
"Oct 10, 2019",0.339
"Oct 15, 2019",0.26
"Oct 15, 2019",0.349
"Oct 15, 2019",0.401
"Oct 15, 2019",0.311
"Oct 20, 2019",0.239
"Oct 20, 2019",0.362
"Oct 20, 2019",0.382
"Oct 20, 2019",0.303
"Oct 25, 2019",0.186
"Oct 25, 2019",0.237
"Oct 25, 2019",0.217
"Oct 25, 2019",0.199
"Oct 30, 2019",0.224
"Nov 4, 2019",0.096
"Nov 4, 2019",0.252
"Nov 4, 2019",0.179
"Nov 4, 2019",0.176
"Nov 9, 2019",0.102
"Nov 9, 2019",0.282
"Nov 9, 2019",0.233
"Nov 9, 2019",0.211
"Nov 19, 2019",0.15
"Nov 19, 2019",0.133
"Nov 19, 2019",0.145
"Nov 24, 2019",0.111
"Nov 29, 2019",0.065
"Dec 4, 2019",0.209
"Dec 4, 2019",0.104
"Dec 4, 2019",0.146
"Dec 9, 2019",0.092
"Dec 9, 2019",0.129
"Dec 14, 2019",0.147
"Jan 3, 2020",0.166
"Jan 3, 2020",0.279
"Jan 3, 2020",0.158
"Jan 3, 2020",0.23
"Jan 23, 2020",0.303
"Jan 23, 2020",0.387
"Jan 23, 2020",0.307
"Jan 23, 2020",0.357
"Feb 2, 2020",0.364
"Feb 2, 2020",0.467
"Feb 2, 2020",0.338
"Feb 2, 2020",0.419
"Feb 7, 2020",0.357
"Feb 7, 2020",0.459
"Feb 7, 2020",0.432
"Feb 7, 2020",0.445
"Feb 12, 2020",0.363
"Feb 12, 2020",0.459
"Feb 12, 2020",0.448
"Feb 12, 2020",0.457
"Feb 17, 2020",0.386
"Feb 17, 2020",0.493
"Feb 17, 2020",0.476
"Feb 17, 2020",0.484
"Feb 22, 2020",0.406
"Feb 22, 2020",0.492
"Feb 22, 2020",0.513
"Feb 22, 2020",0.523
"Feb 27, 2020",0.516
"Feb 27, 2020",0.519
"Mar 3, 2020",0.455
"Mar 3, 2020",0.543
"Mar 3, 2020",0.521
"Mar 3, 2020",0.528
"Mar 8, 2020",0.402
"Mar 8, 2020",0.541
"Mar 8, 2020",0.524
"Mar 8, 2020",0.533
"Mar 13, 2020",0.463
"Mar 13, 2020",0.54
"Mar 13, 2020",0.558
"Mar 13, 2020",0.52
"Mar 18, 2020",0.376
"Mar 18, 2020",0.515
"Mar 18, 2020",0.508
"Mar 18, 2020",0.484
"Mar 23, 2020",0.356
"Mar 23, 2020",0.473
"Mar 23, 2020",0.481
"Mar 23, 2020",0.432
"Mar 28, 2020",0.293
"Mar 28, 2020",0.438
"Mar 28, 2020",0.463
"Mar 28, 2020",0.393
"Apr 2, 2020",0.297
"Apr 2, 2020",0.369
"Apr 2, 2020",0.39
"Apr 2, 2020",0.313
"Apr 12, 2020",0.204
"Apr 22, 2020",0.093
"Apr 22, 2020",0.158
"Apr 22, 2020",0.152
"Apr 22, 2020",0.125
"Apr 27, 2020",0.073
"Apr 27, 2020",0.137
"Apr 27, 2020",0.122
"Apr 27, 2020",0.12
"May 2, 2020",0.095
"May 2, 2020",0.089
"May 7, 2020",0.074
"May 7, 2020",0.133
"May 7, 2020",0.112
"May 7, 2020",0.099
"May 12, 2020",0.062
"May 12, 2020",0.118
"May 12, 2020",0.1
"May 12, 2020",0.079
"May 22, 2020",0.073
"May 22, 2020",0.119
"May 22, 2020",0.089
"May 22, 2020",0.077
"May 27, 2020",0.077
"May 27, 2020",0.122
"May 27, 2020",0.1
"May 27, 2020",0.085
"Jun 1, 2020",0.067
"Jun 1, 2020",0.098
"Jun 1, 2020",0.095
"Jun 1, 2020",0.071
"Jun 6, 2020",0.118
"Jun 6, 2020",0.114
"Jun 6, 2020",0.08
"Jun 11, 2020",0.107
"Jun 11, 2020",0.134
"Jun 11, 2020",0.107
"Jun 11, 2020",0.082
"Jun 16, 2020",0.124
"Jun 16, 2020",0.139
