-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 10/12/2021 
Location: Latitude  29.6542   Longitude 74.7571 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 201.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0.0,13.03,21.89,7.27,32.45
2017,1,2,0.0,14.61,23.12,11.13,41.62
2017,1,3,0.0,14.94,23.48,10.26,46.48
2017,1,4,0.0,14.76,24.67,8.61,51.65
2017,1,5,0.0,14.99,24.84,10.83,36.41
2017,1,6,2.76,14.81,23.51,8.52,25.34
2017,1,7,2.21,13.33,20.12,10.39,29.49
2017,1,8,0.01,12.01,19.46,7.87,25.59
2017,1,9,0.0,10.12,18.56,5.65,56.55
2017,1,10,0.0,8.26,18.35,2.21,69.26
2017,1,11,0.0,8.3,18.4,3.57,65.8
2017,1,12,0.0,9.3,19.83,3.13,66.23
2017,1,13,0.0,9.26,20.25,5.66,64.8
2017,1,14,0.0,10.08,19.65,4.72,43.05
2017,1,15,0.6,11.9,21.85,5.01,49.74
2017,1,16,0.17,11.0,19.08,5.71,24.59
2017,1,17,0.0,10.52,19.22,4.4,49.42
2017,1,18,0.0,11.39,20.22,6.99,59.6
2017,1,19,0.0,10.99,19.64,4.26,69.12
2017,1,20,0.0,11.23,20.96,3.92,69.46
2017,1,21,0.59,14.33,23.74,8.09,43.3
2017,1,22,1.46,15.29,24.03,9.21,55.42
2017,1,23,0.0,15.26,24.76,7.58,60.05
2017,1,24,0.01,15.26,23.18,9.98,51.8
2017,1,25,4.18,14.73,20.24,11.76,35.65
2017,1,26,30.1,12.04,14.58,9.05,30.38
2017,1,27,0.27,12.69,19.83,6.98,54.42
2017,1,28,0.0,13.17,21.17,8.29,52.35
2017,1,29,0.0,14.4,23.53,8.24,68.7
2017,1,30,0.0,14.49,23.79,11.4,65.24
2017,1,31,0.0,14.63,23.95,11.35,68.12
2017,2,1,0.0,13.94,22.87,9.23,78.15
2017,2,2,0.0,13.55,22.24,9.49,59.73
2017,2,3,0.0,14.7,24.11,7.9,64.48
