system:index,.geo
0,"{""type"":""Point"",""coordinates"":[76.66353930036611,29.153699039353913]}"
1,"{""type"":""Point"",""coordinates"":[76.69921403653086,29.254817411344625]}"
2,"{""type"":""Point"",""coordinates"":[76.58524020999754,29.271815345508866]}"
3,"{""type"":""Point"",""coordinates"":[76.58345483973667,29.217395354589577]}"
4,"{""type"":""Point"",""coordinates"":[76.95668777371117,28.92937571131847]}"
5,"{""type"":""Point"",""coordinates"":[76.81749977319882,28.980019725777424]}"
6,"{""type"":""Point"",""coordinates"":[76.97436087974751,28.99357550935742]}"
7,"{""type"":""Point"",""coordinates"":[76.57964129292412,29.186475975001247]}"
8,"{""type"":""Point"",""coordinates"":[76.9281619076438,29.14622481546478]}"
9,"{""type"":""Point"",""coordinates"":[76.75408355443557,29.19577767668635]}"
10,"{""type"":""Point"",""coordinates"":[76.66873425088072,29.15534703177103]}"
11,"{""type"":""Point"",""coordinates"":[76.75321201101177,29.106197140493556]}"
12,"{""type"":""Point"",""coordinates"":[76.68210499270168,29.081286453855956]}"
13,"{""type"":""Point"",""coordinates"":[76.83979212388711,29.162795644233405]}"
14,"{""type"":""Point"",""coordinates"":[76.57849432815159,29.27920934945252]}"
15,"{""type"":""Point"",""coordinates"":[76.59649210866736,29.220783029944947]}"
16,"{""type"":""Point"",""coordinates"":[76.56661129327378,29.156356630408638]}"
17,"{""type"":""Point"",""coordinates"":[76.86549628668253,29.172568578746006]}"
18,"{""type"":""Point"",""coordinates"":[76.91304098441813,28.86655238630324]}"
19,"{""type"":""Point"",""coordinates"":[77.08318306158516,28.879120751484823]}"
20,"{""type"":""Point"",""coordinates"":[76.74714462945522,29.026659878447223]}"
21,"{""type"":""Point"",""coordinates"":[77.0319900935612,28.945500204685608]}"
22,"{""type"":""Point"",""coordinates"":[76.90860979663864,29.01276138934791]}"
23,"{""type"":""Point"",""coordinates"":[76.601622939952,29.13127503274031]}"
24,"{""type"":""Point"",""coordinates"":[77.04929084390513,28.899006476501246]}"
25,"{""type"":""Point"",""coordinates"":[76.90529170440524,29.076124541445584]}"
26,"{""type"":""Point"",""coordinates"":[77.129816827792,28.956772502565883]}"
27,"{""type"":""Point"",""coordinates"":[76.97170967833368,28.83532785115478]}"
28,"{""type"":""Point"",""coordinates"":[76.78152959044336,29.081833877086915]}"
29,"{""type"":""Point"",""coordinates"":[76.93287625780002,28.977704270837954]}"
