system:time_start,ndre
"Dec 16, 2018",0.355
"Dec 16, 2018",0.285
"Dec 16, 2018",0.259
"Dec 16, 2018",0.34
"Dec 21, 2018",0.327
"Dec 21, 2018",0.271
"Dec 21, 2018",0.27
"Dec 21, 2018",0.312
"Dec 26, 2018",0.304
"Dec 26, 2018",0.217
"Dec 26, 2018",0.326
"Dec 31, 2018",0.378
"Dec 31, 2018",0.353
"Dec 31, 2018",0.236
"Dec 31, 2018",0.405
"Jan 5, 2019",0.28
"Jan 5, 2019",0.146
"Jan 5, 2019",0.219
"Jan 10, 2019",0.207
"Jan 20, 2019",0.425
"Jan 25, 2019",0.358
"Jan 25, 2019",0.229
"Jan 25, 2019",0.261
"Feb 4, 2019",0.052
"Feb 9, 2019",0.478
"Feb 9, 2019",0.606
"Feb 9, 2019",0.263
"Feb 9, 2019",0.528
"Feb 19, 2019",0.288
"Feb 24, 2019",0.542
"Feb 24, 2019",0.662
"Feb 24, 2019",0.352
"Feb 24, 2019",0.593
"Mar 1, 2019",0.528
"Mar 1, 2019",0.661
"Mar 1, 2019",0.357
"Mar 1, 2019",0.595
"Mar 6, 2019",0.538
"Mar 6, 2019",0.662
"Mar 6, 2019",0.387
"Mar 6, 2019",0.582
"Mar 11, 2019",0.43
"Mar 11, 2019",0.284
"Mar 11, 2019",0.421
"Mar 16, 2019",0.309
"Mar 16, 2019",0.534
"Mar 21, 2019",0.429
"Mar 21, 2019",0.125
"Mar 21, 2019",0.227
"Mar 26, 2019",0.434
"Mar 26, 2019",0.577
"Mar 26, 2019",0.332
"Mar 26, 2019",0.421
"Mar 31, 2019",0.341
"Mar 31, 2019",0.504
"Mar 31, 2019",0.267
"Mar 31, 2019",0.327
"Apr 5, 2019",0.195
"Apr 5, 2019",0.381
"Apr 5, 2019",0.199
"Apr 5, 2019",0.209
"Apr 10, 2019",0.154
"Apr 10, 2019",0.196
"Apr 10, 2019",0.192
"Apr 10, 2019",0.178
"Apr 15, 2019",0.157
"Apr 15, 2019",0.153
"Apr 15, 2019",0.207
"Apr 20, 2019",0.13
"Apr 20, 2019",0.088
"Apr 20, 2019",0.177
"Apr 20, 2019",0.152
"Apr 25, 2019",0.096
"Apr 25, 2019",0.125
"Apr 25, 2019",0.101
"Apr 30, 2019",0.094
"Apr 30, 2019",0.086
"Apr 30, 2019",0.125
"Apr 30, 2019",0.103
"May 5, 2019",0.124
"May 5, 2019",0.097
"May 5, 2019",0.174
"May 5, 2019",0.113
"May 10, 2019",0.065
"May 10, 2019",0.068
"May 10, 2019",0.078
"May 10, 2019",0.088
"May 20, 2019",0.09
"May 20, 2019",0.092
"May 25, 2019",0.064
"May 25, 2019",0.08
"May 25, 2019",0.097
"May 25, 2019",0.12
"May 30, 2019",0.059
"May 30, 2019",0.086
"May 30, 2019",0.097
"May 30, 2019",0.16
"Jun 4, 2019",0.034
"Jun 4, 2019",0.07
"Jun 4, 2019",0.058
"Jun 4, 2019",0.12
"Jun 9, 2019",0.025
"Jun 9, 2019",0.091
"Jun 9, 2019",0.063
"Jun 9, 2019",0.175
"Jun 14, 2019",0.09
"Jun 14, 2019",0.113
"Jun 14, 2019",0.105
"Jun 14, 2019",0.211
"Jun 19, 2019",0.042
"Jun 19, 2019",0.087
"Jun 19, 2019",0.162
"Jun 29, 2019",0.064
"Jun 29, 2019",0.099
"Jun 29, 2019",0.097
"Jun 29, 2019",0.156
"Jul 14, 2019",0.069
"Jul 29, 2019",0.066
"Aug 8, 2019",0.368
"Aug 13, 2019",0.229
"Aug 23, 2019",0.186
"Aug 23, 2019",0.294
"Aug 23, 2019",0.502
"Aug 23, 2019",0.413
"Aug 28, 2019",0.409
"Aug 28, 2019",0.401
"Aug 28, 2019",0.23
"Aug 28, 2019",0.303
"Sep 2, 2019",0.56
"Sep 2, 2019",0.396
"Sep 2, 2019",0.511
"Sep 12, 2019",0.234
"Sep 17, 2019",0.504
"Sep 17, 2019",0.25
"Oct 2, 2019",0.377
"Oct 2, 2019",0.288
"Oct 2, 2019",0.27
"Oct 2, 2019",0.268
"Oct 12, 2019",0.309
"Oct 12, 2019",0.433
"Oct 12, 2019",0.248
"Oct 12, 2019",0.26
"Oct 17, 2019",0.192
"Oct 17, 2019",0.294
"Oct 17, 2019",0.159
"Oct 17, 2019",0.183
"Oct 22, 2019",0.219
"Oct 22, 2019",0.387
"Oct 27, 2019",0.149
"Oct 27, 2019",0.265
"Oct 27, 2019",0.164
"Oct 27, 2019",0.18
"Nov 6, 2019",0.09
"Nov 6, 2019",0.177
"Nov 6, 2019",0.169
"Nov 11, 2019",0.078
"Nov 16, 2019",0.11
"Nov 16, 2019",0.14
"Nov 16, 2019",0.192
"Nov 16, 2019",0.16
"Dec 1, 2019",0.161
"Dec 1, 2019",0.15
"Dec 1, 2019",0.216
"Dec 1, 2019",0.194
"Dec 11, 2019",0.099
"Dec 31, 2019",0.242
"Jan 5, 2020",0.321
"Jan 5, 2020",0.284
"Jan 5, 2020",0.205
"Jan 5, 2020",0.343
"Jan 10, 2020",0.36
"Jan 10, 2020",0.362
"Jan 10, 2020",0.26
"Jan 10, 2020",0.42
"Jan 15, 2020",0.25
"Jan 25, 2020",0.27
"Jan 25, 2020",0.471
"Jan 30, 2020",0.455
"Jan 30, 2020",0.506
"Jan 30, 2020",0.292
"Jan 30, 2020",0.559
"Feb 4, 2020",0.219
"Feb 4, 2020",0.374
"Feb 9, 2020",0.46
"Feb 9, 2020",0.329
"Feb 9, 2020",0.36
"Feb 14, 2020",0.476
"Feb 14, 2020",0.573
"Feb 14, 2020",0.304
"Feb 14, 2020",0.568
"Feb 24, 2020",0.476
"Feb 24, 2020",0.536
"Feb 24, 2020",0.359
"Feb 24, 2020",0.439
"Feb 29, 2020",-0.071
"Mar 5, 2020",0.472
"Mar 5, 2020",0.28
"Mar 10, 2020",0.48
"Mar 10, 2020",0.608
"Mar 10, 2020",0.381
"Mar 10, 2020",0.585
"Mar 15, 2020",0.406
"Mar 15, 2020",0.53
"Mar 15, 2020",0.329
"Mar 15, 2020",0.465
"Mar 20, 2020",0.308
"Mar 20, 2020",0.476
"Mar 25, 2020",0.353
"Mar 25, 2020",0.379
"Mar 25, 2020",0.465
"Mar 30, 2020",0.341
"Mar 30, 2020",0.411
"Mar 30, 2020",0.436
"Apr 4, 2020",0.239
"Apr 4, 2020",0.38
"Apr 4, 2020",0.291
