system:time_start,ndvi
"Dec 16, 2018",0.497
"Dec 16, 2018",0.419
"Dec 16, 2018",0.329
"Dec 16, 2018",0.457
"Dec 21, 2018",0.484
"Dec 21, 2018",0.401
"Dec 21, 2018",0.417
"Dec 21, 2018",0.427
"Dec 26, 2018",0.445
"Dec 26, 2018",0.304
"Dec 26, 2018",0.461
"Dec 31, 2018",0.548
"Dec 31, 2018",0.534
"Dec 31, 2018",0.364
"Dec 31, 2018",0.558
"Jan 5, 2019",0.374
"Jan 5, 2019",0.219
"Jan 5, 2019",0.307
"Jan 10, 2019",0.283
"Jan 20, 2019",0.58
"Jan 25, 2019",0.48
"Jan 25, 2019",0.267
"Jan 25, 2019",0.35
"Feb 4, 2019",0.062
"Feb 9, 2019",0.614
"Feb 9, 2019",0.798
"Feb 9, 2019",0.367
"Feb 9, 2019",0.68
"Feb 19, 2019",0.354
"Feb 24, 2019",0.69
"Feb 24, 2019",0.833
"Feb 24, 2019",0.505
"Feb 24, 2019",0.758
"Mar 1, 2019",0.681
"Mar 1, 2019",0.852
"Mar 1, 2019",0.498
"Mar 1, 2019",0.78
"Mar 6, 2019",0.699
"Mar 6, 2019",0.837
"Mar 6, 2019",0.559
"Mar 6, 2019",0.754
"Mar 11, 2019",0.574
"Mar 11, 2019",0.403
"Mar 11, 2019",0.551
"Mar 16, 2019",0.407
"Mar 16, 2019",0.694
"Mar 21, 2019",0.569
"Mar 21, 2019",0.195
"Mar 21, 2019",0.324
"Mar 26, 2019",0.622
"Mar 26, 2019",0.784
"Mar 26, 2019",0.478
"Mar 26, 2019",0.595
"Mar 31, 2019",0.532
"Mar 31, 2019",0.716
"Mar 31, 2019",0.398
"Mar 31, 2019",0.488
"Apr 5, 2019",0.36
"Apr 5, 2019",0.6
"Apr 5, 2019",0.337
"Apr 5, 2019",0.33
"Apr 10, 2019",0.275
"Apr 10, 2019",0.345
"Apr 10, 2019",0.322
"Apr 10, 2019",0.273
"Apr 15, 2019",0.254
"Apr 15, 2019",0.253
"Apr 15, 2019",0.319
"Apr 20, 2019",0.212
"Apr 20, 2019",0.174
"Apr 20, 2019",0.271
"Apr 20, 2019",0.22
"Apr 25, 2019",0.162
"Apr 25, 2019",0.202
"Apr 25, 2019",0.152
"Apr 30, 2019",0.165
"Apr 30, 2019",0.158
"Apr 30, 2019",0.206
"Apr 30, 2019",0.172
"May 5, 2019",0.175
"May 5, 2019",0.163
"May 5, 2019",0.242
"May 5, 2019",0.173
"May 10, 2019",0.114
"May 10, 2019",0.13
"May 10, 2019",0.12
"May 10, 2019",0.136
"May 20, 2019",0.129
"May 20, 2019",0.146
"May 25, 2019",0.099
"May 25, 2019",0.131
"May 25, 2019",0.13
"May 25, 2019",0.151
"May 30, 2019",0.118
"May 30, 2019",0.142
"May 30, 2019",0.141
"May 30, 2019",0.184
"Jun 4, 2019",0.109
"Jun 4, 2019",0.127
"Jun 4, 2019",0.126
"Jun 4, 2019",0.182
"Jun 9, 2019",0.087
"Jun 9, 2019",0.159
"Jun 9, 2019",0.147
"Jun 9, 2019",0.246
"Jun 14, 2019",0.154
"Jun 14, 2019",0.184
"Jun 14, 2019",0.15
"Jun 14, 2019",0.27
"Jun 19, 2019",0.1
"Jun 19, 2019",0.174
"Jun 19, 2019",0.253
"Jun 29, 2019",0.146
"Jun 29, 2019",0.184
"Jun 29, 2019",0.158
"Jun 29, 2019",0.236
"Jul 14, 2019",0.123
"Jul 29, 2019",0.134
"Aug 8, 2019",0.596
"Aug 13, 2019",0.403
"Aug 23, 2019",0.315
"Aug 23, 2019",0.446
"Aug 23, 2019",0.722
"Aug 23, 2019",0.589
"Aug 28, 2019",0.516
"Aug 28, 2019",0.58
"Aug 28, 2019",0.265
"Aug 28, 2019",0.403
"Sep 2, 2019",0.751
"Sep 2, 2019",0.556
"Sep 2, 2019",0.737
"Sep 12, 2019",0.326
"Sep 17, 2019",0.707
"Sep 17, 2019",0.38
"Oct 2, 2019",0.55
"Oct 2, 2019",0.398
"Oct 2, 2019",0.35
"Oct 2, 2019",0.37
"Oct 12, 2019",0.543
"Oct 12, 2019",0.648
"Oct 12, 2019",0.386
"Oct 12, 2019",0.386
"Oct 17, 2019",0.372
"Oct 17, 2019",0.447
"Oct 17, 2019",0.26
"Oct 17, 2019",0.275
"Oct 22, 2019",0.379
"Oct 22, 2019",0.62
"Oct 27, 2019",0.265
"Oct 27, 2019",0.428
"Oct 27, 2019",0.273
"Oct 27, 2019",0.287
"Nov 6, 2019",0.148
"Nov 6, 2019",0.294
"Nov 6, 2019",0.242
"Nov 11, 2019",0.116
"Nov 16, 2019",0.168
"Nov 16, 2019",0.246
"Nov 16, 2019",0.281
"Nov 16, 2019",0.25
"Dec 1, 2019",0.224
"Dec 1, 2019",0.238
"Dec 1, 2019",0.279
"Dec 1, 2019",0.259
"Dec 11, 2019",0.158
"Dec 31, 2019",0.286
"Jan 5, 2020",0.515
"Jan 5, 2020",0.446
"Jan 5, 2020",0.347
"Jan 5, 2020",0.492
"Jan 10, 2020",0.505
"Jan 10, 2020",0.536
"Jan 10, 2020",0.361
"Jan 10, 2020",0.56
"Jan 15, 2020",0.384
"Jan 25, 2020",0.373
"Jan 25, 2020",0.62
"Jan 30, 2020",0.63
"Jan 30, 2020",0.707
"Jan 30, 2020",0.408
"Jan 30, 2020",0.75
"Feb 4, 2020",0.255
"Feb 4, 2020",0.487
"Feb 9, 2020",0.591
"Feb 9, 2020",0.434
"Feb 9, 2020",0.449
"Feb 14, 2020",0.624
"Feb 14, 2020",0.77
"Feb 14, 2020",0.434
"Feb 14, 2020",0.719
"Feb 24, 2020",0.634
"Feb 24, 2020",0.709
"Feb 24, 2020",0.528
"Feb 24, 2020",0.58
"Feb 29, 2020",-0.044
"Mar 5, 2020",0.641
"Mar 5, 2020",0.355
"Mar 10, 2020",0.697
"Mar 10, 2020",0.814
"Mar 10, 2020",0.633
"Mar 10, 2020",0.807
"Mar 15, 2020",0.619
"Mar 15, 2020",0.735
"Mar 15, 2020",0.557
"Mar 15, 2020",0.656
"Mar 20, 2020",0.475
"Mar 20, 2020",0.66
"Mar 25, 2020",0.562
"Mar 25, 2020",0.615
"Mar 25, 2020",0.709
"Mar 30, 2020",0.551
"Mar 30, 2020",0.623
"Mar 30, 2020",0.671
"Apr 4, 2020",0.396
"Apr 4, 2020",0.615
"Apr 4, 2020",0.485
"Apr 4, 2020",0.506
"Apr 14, 2020",0.231
"Apr 14, 2020",0.212
"Apr 19, 2020",0.417
"Apr 19, 2020",0.321
"Apr 24, 2020",0.228
"Apr 24, 2020",0.2
"Apr 24, 2020",0.288
"Apr 24, 2020",0.28
"Apr 29, 2020",0.207
"Apr 29, 2020",0.169
"Apr 29, 2020",0.262
"Apr 29, 2020",0.224
"May 4, 2020",0.177
"May 4, 2020",0.156
"May 9, 2020",0.194
"May 9, 2020",0.153
"May 9, 2020",0.246
"May 9, 2020",0.163
"May 14, 2020",0.167
"May 14, 2020",0.124
"May 14, 2020",0.204
"May 14, 2020",0.146
"May 24, 2020",0.135
"May 24, 2020",0.146
"May 24, 2020",0.187
"May 24, 2020",0.188
"May 29, 2020",0.117
"Jun 3, 2020",0.173
"Jun 3, 2020",0.281
"Jun 3, 2020",0.253
"Jun 8, 2020",0.234
"Jun 8, 2020",0.212
"Jun 8, 2020",0.394
"Jun 8, 2020",0.326
"Jun 13, 2020",0.044
"Jun 13, 2020",0.115
"Jun 13, 2020",0.209
"Jun 18, 2020",0.249
"Jun 18, 2020",0.23
"Jun 18, 2020",0.369
"Jun 18, 2020",0.382
"Jun 23, 2020",0.103
"Jun 23, 2020",0.097
"Jun 28, 2020",0.18
"Jun 28, 2020",0.21
"Jun 28, 2020",0.335
"Jul 3, 2020",0.129
"Jul 3, 2020",0.229
"Jul 3, 2020",0.232
"Jul 3, 2020",0.299
"Jul 13, 2020",0.126
"Jul 13, 2020",0.328
"Jul 13, 2020",0.5
"Jul 13, 2020",0.491
"Jul 23, 2020",0.208
"Aug 2, 2020",0.441
"Aug 2, 2020",0.541
"Aug 2, 2020",0.538
"Aug 7, 2020",0.545
"Sep 6, 2020",0.546
"Sep 6, 2020",0.246
"Sep 11, 2020",0.753
"Sep 11, 2020",0.725
"Sep 11, 2020",0.746
"Sep 11, 2020",0.573
"Sep 16, 2020",0.674
"Sep 16, 2020",0.695
