system:time_start,savi
"Dec 16, 2018",0.287
"Dec 16, 2018",0.239
"Dec 16, 2018",0.197
"Dec 16, 2018",0.242
"Dec 21, 2018",0.318
"Dec 21, 2018",0.247
"Dec 21, 2018",0.285
"Dec 21, 2018",0.269
"Dec 26, 2018",0.272
"Dec 26, 2018",0.198
"Dec 26, 2018",0.269
"Dec 31, 2018",0.349
"Dec 31, 2018",0.324
"Dec 31, 2018",0.247
"Dec 31, 2018",0.332
"Jan 5, 2019",0.248
"Jan 5, 2019",0.146
"Jan 5, 2019",0.196
"Jan 10, 2019",0.193
"Jan 20, 2019",0.352
"Jan 25, 2019",0.338
"Jan 25, 2019",0.19
"Jan 25, 2019",0.238
"Feb 4, 2019",0.066
"Feb 9, 2019",0.432
"Feb 9, 2019",0.544
"Feb 9, 2019",0.242
"Feb 9, 2019",0.449
"Feb 19, 2019",0.263
"Feb 24, 2019",0.479
"Feb 24, 2019",0.589
"Feb 24, 2019",0.329
"Feb 24, 2019",0.507
"Mar 1, 2019",0.47
"Mar 1, 2019",0.605
"Mar 1, 2019",0.327
"Mar 1, 2019",0.51
"Mar 6, 2019",0.474
"Mar 6, 2019",0.591
"Mar 6, 2019",0.364
"Mar 6, 2019",0.488
"Mar 11, 2019",0.406
"Mar 11, 2019",0.271
"Mar 11, 2019",0.375
"Mar 16, 2019",0.294
"Mar 16, 2019",0.438
"Mar 21, 2019",0.381
"Mar 21, 2019",0.171
"Mar 21, 2019",0.187
"Mar 26, 2019",0.382
"Mar 26, 2019",0.497
"Mar 26, 2019",0.298
"Mar 26, 2019",0.338
"Mar 31, 2019",0.316
"Mar 31, 2019",0.441
"Mar 31, 2019",0.257
"Mar 31, 2019",0.272
"Apr 5, 2019",0.21
"Apr 5, 2019",0.351
"Apr 5, 2019",0.209
"Apr 5, 2019",0.188
"Apr 10, 2019",0.166
"Apr 10, 2019",0.198
"Apr 10, 2019",0.202
"Apr 10, 2019",0.161
"Apr 15, 2019",0.162
"Apr 15, 2019",0.158
