-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 10/12/2021 
Location: Latitude  29.1553   Longitude 76.6687 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 222.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,0.14,13.93,22.62,8.26,60.66
2017,1,2,0.05,15.33,24.19,9.44,62.7
2017,1,3,0.0,15.84,24.97,8.94,61.36
2017,1,4,0.0,15.33,25.12,11.02,53.21
2017,1,5,0.0,15.51,25.83,11.9,52.24
2017,1,6,0.68,15.68,25.31,8.73,42.08
2017,1,7,8.32,14.58,20.52,10.23,16.46
2017,1,8,0.0,12.72,20.13,7.01,38.73
2017,1,9,0.0,11.01,18.76,5.73,57.59
2017,1,10,0.0,8.79,18.39,2.37,67.27
2017,1,11,0.0,7.96,17.96,0.73,67.05
2017,1,12,0.02,8.44,18.58,2.15,64.53
2017,1,13,0.0,8.65,19.87,2.83,64.98
2017,1,14,0.0,9.95,20.28,4.37,45.4
2017,1,15,0.07,12.26,22.89,5.73,59.26
2017,1,16,0.01,12.23,21.76,6.6,36.55
2017,1,17,0.03,10.4,19.14,3.52,35.81
2017,1,18,0.0,11.82,21.43,4.62,59.4
2017,1,19,0.0,11.85,20.8,5.27,69.68
2017,1,20,0.0,11.44,21.4,3.75,67.05
2017,1,21,0.05,12.82,21.1,7.44,50.47
2017,1,22,0.27,15.94,25.55,9.04,58.95
2017,1,23,0.0,15.73,25.21,8.57,63.23
2017,1,24,0.0,16.23,24.83,9.14,58.64
2017,1,25,0.52,18.33,26.3,12.34,41.85
2017,1,26,16.47,17.13,24.73,12.19,14.68
2017,1,27,8.67,13.73,19.47,9.47,60.09
2017,1,28,0.0,13.96,22.03,6.4,41.99
2017,1,29,0.0,15.22,24.51,8.82,62.8
2017,1,30,0.0,15.23,24.65,8.2,64.59
2017,1,31,0.0,15.12,24.54,9.97,67.73
2017,2,1,0.0,14.44,23.43,7.46,75.08
2017,2,2,0.0,13.85,23.01,9.59,66.18
2017,2,3,0.0,14.8,25.14,7.2,71.06
2017,2,4,0.0,17.37,25.73,10.7,50.98
2017,2,5,0.61,16.12,22.6,11.55,48.23
2017,2,6,0.0,14.29,22.67,8.49,74.47
2017,2,7,0.0,13.34,22.8,5.37,78.26
2017,2,8,0.0,14.86,24.71,8.19,76.48
2017,2,9,0.0,13.59,22.7,7.51,83.14
2017,2,10,0.0,13.65,23.64,5.62,86.02
2017,2,11,0.0,14.54,25.23,6.36,85.39
2017,2,12,0.0,14.58,24.48,7.23,79.35
2017,2,13,0.0,14.82,25.37,6.98,86.47
2017,2,14,0.0,15.84,26.94,7.05,84.0
2017,2,15,0.0,18.14,28.51,9.26,83.45
2017,2,16,0.0,20.51,30.01,13.62,80.02
2017,2,17,0.0,19.23,26.34,14.13,75.52
2017,2,18,0.0,20.57,30.68,12.28,77.33
2017,2,19,0.0,21.97,31.05,14.39,75.39
2017,2,20,0.0,21.93,31.33,14.44,74.5
2017,2,21,0.1,17.81,26.07,10.69,69.59
2017,2,22,0.0,16.62,27.19,11.17,93.09
2017,2,23,0.0,16.71,27.2,7.83,99.64
2017,2,24,0.0,16.96,27.53,8.33,102.77
2017,2,25,0.0,18.25,29.34,9.47,100.22
2017,2,26,0.0,18.41,29.46,9.35,102.83
2017,2,27,0.0,19.31,30.13,9.92,103.26
2017,2,28,0.02,20.92,30.49,14.55,96.27
2017,3,1,0.13,22.85,30.49,17.12,87.3
2017,3,2,0.2,21.73,29.6,14.7,97.95
2017,3,3,0.01,19.95,28.69,11.25,91.63
2017,3,4,0.0,18.65,27.8,9.79,106.87
2017,3,5,0.0,19.31,29.34,9.49,109.12
2017,3,6,0.0,20.58,30.24,11.09,106.58
2017,3,7,0.0,22.05,30.15,14.97,90.97
2017,3,8,0.5,21.73,27.87,16.23,77.69
2017,3,9,1.48,22.04,29.31,14.26,93.77
2017,3,10,4.91,20.24,27.0,13.5,88.26
2017,3,11,4.25,16.93,24.01,10.62,97.38
2017,3,12,0.0,16.45,24.35,10.66,108.27
2017,3,13,0.0,16.64,26.04,8.25,112.14
2017,3,14,0.0,18.28,27.71,10.59,98.01
2017,3,15,0.0,19.83,29.45,11.37,108.09
2017,3,16,0.04,21.99,30.74,13.16,75.59
2017,3,17,0.02,21.42,29.85,12.84,107.51
2017,3,18,0.0,21.95,31.1,13.6,109.89
2017,3,19,0.0,22.48,31.94,13.64,105.83
2017,3,20,0.0,23.53,33.05,14.32,112.42
2017,3,21,0.0,25.73,35.37,16.18,110.11
2017,3,22,0.0,27.65,38.08,17.68,113.19
2017,3,23,0.0,28.59,37.4,19.46,111.23
2017,3,24,0.0,28.33,37.46,19.49,111.13
2017,3,25,0.0,27.39,36.87,17.38,120.48
2017,3,26,0.0,29.2,37.98,19.38,124.51
2017,3,27,0.0,30.54,40.56,18.98,117.14
2017,3,28,0.0,31.06,40.14,21.33,114.82
2017,3,29,0.0,32.12,41.01,21.8,120.43
2017,3,30,0.0,32.58,41.13,22.9,118.83
2017,3,31,0.0,32.51,40.59,24.65,114.05
2017,4,1,0.0,32.13,40.7,21.89,121.44
2017,4,2,0.0,31.73,40.54,21.55,127.92
2017,4,3,0.0,31.55,40.26,21.26,126.08
2017,4,4,0.0,32.18,39.73,21.52,54.41
2017,4,5,7.76,30.96,37.57,23.11,97.86
2017,4,6,4.98,28.9,38.44,21.0,106.62
2017,4,7,0.14,25.49,34.0,18.67,105.2
2017,4,8,0.0,25.68,35.08,15.65,121.06
2017,4,9,0.0,25.42,34.39,15.08,133.06
2017,4,10,0.0,26.65,36.15,16.35,137.98
2017,4,11,0.0,28.11,38.62,16.63,133.78
2017,4,12,0.0,29.92,40.83,18.2,133.59
2017,4,13,0.0,31.2,41.23,21.05,130.56
2017,4,14,0.0,32.1,42.11,25.06,125.73
2017,4,15,0.0,33.66,43.15,25.08,131.44
2017,4,16,0.0,34.62,44.44,22.73,133.42
2017,4,17,0.0,34.62,43.6,25.73,125.8
2017,4,18,0.0,35.44,44.79,25.83,119.14
2017,4,19,0.0,36.01,44.61,25.68,121.51
2017,4,20,0.0,36.69,45.47,25.24,124.7
2017,4,21,0.0,37.38,44.58,26.5,118.52
2017,4,22,0.27,36.85,43.8,27.76,103.91
2017,4,23,1.72,34.92,40.85,26.14,120.24
2017,4,24,0.01,33.84,38.69,25.05,130.13
2017,4,25,0.0,32.73,39.93,22.85,137.96
2017,4,26,0.32,32.99,39.96,23.01,135.7
2017,4,27,0.0,33.57,40.3,23.44,131.73
2017,4,28,0.63,34.6,40.89,24.89,107.95
2017,4,29,0.27,35.23,41.08,25.55,116.18
2017,4,30,1.13,34.9,40.03,25.05,120.61
2017,5,1,0.02,33.48,39.4,23.81,138.16
2017,5,2,0.0,34.65,41.94,26.11,126.82
2017,5,3,0.02,34.58,40.94,27.58,70.06
2017,5,4,0.93,34.32,40.26,25.12,125.47
2017,5,5,0.0,35.6,42.48,24.99,136.21
2017,5,6,0.0,36.62,43.25,25.95,134.85
2017,5,7,0.0,37.84,45.16,27.73,131.09
2017,5,8,0.0,38.63,45.41,27.48,128.41
2017,5,9,0.0,38.64,45.48,28.7,127.55
2017,5,10,0.0,38.66,44.12,28.83,120.3
2017,5,11,0.36,39.19,43.37,28.96,130.38
2017,5,12,0.0,39.21,43.49,28.7,116.39
2017,5,13,0.44,39.12,44.62,28.26,132.61
2017,5,14,0.03,40.2,45.69,30.41,128.51
2017,5,15,0.0,40.3,45.28,29.7,129.7
2017,5,16,0.0,39.75,43.97,30.76,125.95
2017,5,17,0.48,38.65,41.29,29.06,92.53
2017,5,18,0.16,38.13,41.11,27.91,127.96
2017,5,19,0.13,39.47,43.62,29.36,131.99
2017,5,20,0.09,38.95,42.71,29.15,122.35
2017,5,21,1.21,39.43,42.94,29.94,90.02
2017,5,22,2.62,35.61,38.72,26.93,81.55
2017,5,23,0.02,37.24,41.3,26.79,124.66
2017,5,24,0.15,39.81,42.83,29.86,137.02
2017,5,25,0.0,40.19,44.35,30.3,126.95
2017,5,26,0.01,41.14,45.89,30.54,132.65
2017,5,27,0.17,41.1,45.94,30.33,134.67
2017,5,28,2.58,38.47,41.83,30.37,133.84
2017,5,29,5.33,36.0,39.47,26.55,123.67
2017,5,30,0.25,37.45,40.18,27.78,140.15
2017,5,31,0.66,37.73,40.26,28.45,78.61
2017,6,1,4.3,34.93,39.56,26.91,131.88
2017,6,2,0.0,36.46,42.12,25.85,138.56
2017,6,3,0.0,39.59,45.68,28.8,136.46
2017,6,4,0.0,41.19,47.85,30.13,134.16
2017,6,5,0.0,41.36,45.94,33.34,122.45
2017,6,6,0.01,41.03,44.99,33.26,108.62
2017,6,7,4.06,38.22,39.51,31.33,108.99
2017,6,8,4.28,36.13,38.98,28.59,70.35
2017,6,9,0.12,37.45,39.73,27.37,130.55
2017,6,10,0.0,39.09,41.96,29.61,135.45
2017,6,11,0.14,38.15,41.26,30.49,134.47
2017,6,12,0.0,38.0,42.15,27.48,146.92
2017,6,13,0.33,39.5,43.27,30.33,133.3
2017,6,14,0.48,41.18,44.85,30.83,136.69
2017,6,15,0.46,38.25,41.9,31.33,127.98
2017,6,16,7.18,36.62,40.1,29.19,110.66
2017,6,17,1.34,37.06,39.72,28.8,91.44
2017,6,18,1.53,37.4,40.33,30.87,113.28
2017,6,19,20.7,33.73,37.43,30.51,82.59
2017,6,20,4.89,35.58,38.43,28.52,98.73
2017,6,21,27.55,30.9,34.18,26.76,110.98
2017,6,22,0.74,33.46,36.83,26.19,113.02
2017,6,23,0.0,35.19,39.08,26.45,131.6
2017,6,24,0.0,36.7,39.67,28.32,131.13
2017,6,25,1.06,38.22,41.23,29.47,122.71
2017,6,26,2.55,37.12,40.08,29.76,112.52
2017,6,27,5.16,37.3,39.99,30.36,120.13
2017,6,28,20.97,34.48,36.92,28.66,32.05
2017,6,29,27.49,29.87,32.02,26.96,63.56
2017,6,30,10.54,32.05,34.98,27.23,78.06
2017,7,1,13.37,33.15,35.94,26.62,115.32
2017,7,2,6.84,33.66,36.2,27.74,109.95
2017,7,3,0.42,34.17,36.99,27.11,116.38
2017,7,4,5.41,33.9,38.1,27.87,113.63
2017,7,5,3.69,33.98,38.65,28.4,99.16
2017,7,6,3.65,33.94,37.99,27.92,94.64
2017,7,7,2.32,33.59,37.59,26.63,110.09
2017,7,8,0.0,34.65,38.98,27.42,116.46
2017,7,9,0.01,34.75,39.45,28.63,122.84
2017,7,10,0.02,35.45,40.44,28.22,121.85
2017,7,11,9.29,33.5,37.29,28.18,91.72
2017,7,12,2.88,33.34,37.12,26.87,84.02
2017,7,13,0.15,33.11,35.93,26.38,133.45
