system:index,.geo
0,"{""type"":""Point"",""coordinates"":[77.22046334730729,30.303583570668675]}"
1,"{""type"":""Point"",""coordinates"":[77.54336482026312,30.391502830602462]}"
2,"{""type"":""Point"",""coordinates"":[77.51108721469528,30.43170342037683]}"
3,"{""type"":""Point"",""coordinates"":[77.18578483823546,30.153185709626072]}"
4,"{""type"":""Point"",""coordinates"":[77.3284625635656,30.17296681470519]}"
5,"{""type"":""Point"",""coordinates"":[77.40327547966646,30.396669587141087]}"
6,"{""type"":""Point"",""coordinates"":[77.21977243300348,30.325321243158537]}"
7,"{""type"":""Point"",""coordinates"":[77.25040117073854,30.34746057821927]}"
8,"{""type"":""Point"",""coordinates"":[77.44179901736912,30.225546592886268]}"
9,"{""type"":""Point"",""coordinates"":[77.20319576526482,30.223536020624124]}"
10,"{""type"":""Point"",""coordinates"":[77.21936195500714,30.299143046812645]}"
11,"{""type"":""Point"",""coordinates"":[77.29985552144333,30.312063613956813]}"
12,"{""type"":""Point"",""coordinates"":[77.303078330905,30.266223790566592]}"
13,"{""type"":""Point"",""coordinates"":[77.17650769538793,30.162280304147266]}"
14,"{""type"":""Point"",""coordinates"":[77.51637600081183,30.433201622774266]}"
15,"{""type"":""Point"",""coordinates"":[77.24726680044482,30.34316470784971]}"
16,"{""type"":""Point"",""coordinates"":[77.44084518351926,30.37072555541895]}"
17,"{""type"":""Point"",""coordinates"":[77.27535435463693,30.376501958770557]}"
18,"{""type"":""Point"",""coordinates"":[77.5228412608076,30.383470415864515]}"
19,"{""type"":""Point"",""coordinates"":[77.16823678837086,30.070841514972322]}"
20,"{""type"":""Point"",""coordinates"":[77.35545756191198,30.330609982824157]}"
21,"{""type"":""Point"",""coordinates"":[77.42089297690487,30.212796262238168]}"
22,"{""type"":""Point"",""coordinates"":[77.33769098589897,30.237488178352397]}"
23,"{""type"":""Point"",""coordinates"":[77.14486967267335,30.174821165295906]}"
24,"{""type"":""Point"",""coordinates"":[77.40560766748781,30.173789070865233]}"
25,"{""type"":""Point"",""coordinates"":[77.3803375055378,30.297250695965143]}"
26,"{""type"":""Point"",""coordinates"":[77.33775333712495,30.431464230351178]}"
27,"{""type"":""Point"",""coordinates"":[77.2410270339445,30.362931744766616]}"
28,"{""type"":""Point"",""coordinates"":[77.32306870415891,30.340265642505976]}"
29,"{""type"":""Point"",""coordinates"":[77.33813896660405,30.211666974095575]}"
