system:time_start,ndre
"Dec 16, 2018",0.364
"Dec 16, 2018",0.453
"Dec 21, 2018",0.292
"Dec 21, 2018",0.372
"Dec 26, 2018",0.249
"Dec 26, 2018",0.293
"Dec 31, 2018",0.329
"Dec 31, 2018",0.476
"Jan 25, 2019",0.531
"Feb 9, 2019",0.482
"Feb 9, 2019",0.629
"Mar 1, 2019",0.496
"Mar 1, 2019",0.609
"Mar 6, 2019",0.488
"Mar 6, 2019",0.588
"Mar 16, 2019",0.435
"Mar 16, 2019",0.495
"Mar 21, 2019",0.492
"Mar 26, 2019",0.395
"Mar 26, 2019",0.386
"Mar 31, 2019",0.369
"Mar 31, 2019",0.355
"Apr 5, 2019",0.261
"Apr 5, 2019",0.202
"Apr 15, 2019",0.236
"Apr 15, 2019",0.087
"Apr 20, 2019",0.174
"Apr 20, 2019",0.06
"Apr 25, 2019",0.176
"Apr 25, 2019",0.06
"Apr 30, 2019",0.176
"Apr 30, 2019",0.124
"May 5, 2019",0.211
"May 5, 2019",0.094
"May 10, 2019",0.155
"May 25, 2019",0.189
"May 25, 2019",0.172
"May 30, 2019",0.194
"May 30, 2019",0.205
"Jun 4, 2019",0.186
"Jun 9, 2019",0.201
"Jun 9, 2019",0.231
"Jun 14, 2019",0.221
"Jun 14, 2019",0.287
"Jun 19, 2019",0.204
"Jun 19, 2019",0.221
"Jun 29, 2019",0.186
"Jun 29, 2019",0.192
"Jul 24, 2019",0.254
"Aug 23, 2019",0.508
"Aug 23, 2019",0.427
"Aug 28, 2019",0.526
"Aug 28, 2019",0.51
"Sep 2, 2019",0.489
"Sep 2, 2019",0.554
"Sep 17, 2019",0.053
"Oct 2, 2019",0.448
"Oct 2, 2019",0.361
"Oct 12, 2019",0.37
"Oct 12, 2019",0.327
"Oct 17, 2019",0.35
"Oct 17, 2019",0.237
"Oct 22, 2019",0.356
"Oct 22, 2019",0.344
"Oct 27, 2019",0.217
"Oct 27, 2019",0.189
"Nov 1, 2019",0.184
"Nov 6, 2019",0.27
"Nov 6, 2019",0.199
"Nov 16, 2019",0.266
"Dec 1, 2019",0.288
"Dec 1, 2019",0.356
"Dec 6, 2019",0.327
"Dec 6, 2019",0.39
"Dec 11, 2019",0.255
"Dec 31, 2019",0.203
"Dec 31, 2019",0.319
"Jan 5, 2020",0.384
"Jan 5, 2020",0.415
"Jan 10, 2020",0.281
"Jan 10, 2020",0.12
"Jan 30, 2020",0.467
"Jan 30, 2020",0.527
"Feb 4, 2020",0.245
"Feb 9, 2020",0.479
"Feb 9, 2020",0.471
"Feb 14, 2020",0.503
"Feb 14, 2020",0.533
"Feb 24, 2020",0.513
"Feb 24, 2020",0.546
"Mar 10, 2020",0.481
"Mar 10, 2020",0.524
"Mar 15, 2020",0.425
"Mar 15, 2020",0.504
"Mar 20, 2020",0.391
"Apr 4, 2020",0.319
"Apr 4, 2020",0.257
"Apr 14, 2020",0.161
"Apr 24, 2020",0.203
"Apr 24, 2020",0.207
"Apr 29, 2020",0.148
"Apr 29, 2020",0.18
"May 4, 2020",0.142
"May 9, 2020",0.148
"May 14, 2020",0.224
"May 14, 2020",0.194
"May 24, 2020",0.217
"May 24, 2020",0.109
"Jun 3, 2020",0.204
"Jun 3, 2020",0.144
"Jun 8, 2020",0.258
"Jun 8, 2020",0.226
"Jun 13, 2020",0.192
"Jun 13, 2020",0.184
"Jun 18, 2020",0.18
"Jun 18, 2020",0.231
"Jun 23, 2020",-0.068
"Jun 28, 2020",0.201
"Jun 28, 2020",0.139
"Jul 3, 2020",0.231
"Jul 13, 2020",0.282
"Jul 13, 2020",0.346
"Jul 23, 2020",0.288
"Jul 23, 2020",0.312
"Aug 2, 2020",0.329
"Aug 2, 2020",0.272
"Aug 7, 2020",0.507
"Sep 11, 2020",0.368
"Sep 11, 2020",0.521
"Sep 16, 2020",0.366
"Sep 21, 2020",0.471
"Sep 21, 2020",0.437
"Sep 26, 2020",0.421
"Oct 1, 2020",0.432
"Oct 1, 2020",0.454
"Oct 6, 2020",0.414
"Oct 6, 2020",0.433
"Oct 11, 2020",0.345
"Oct 11, 2020",0.356
"Oct 16, 2020",0.321
"Oct 16, 2020",0.309
"Oct 21, 2020",0.309
"Oct 21, 2020",0.313
"Oct 26, 2020",0.279
"Oct 26, 2020",0.193
"Oct 31, 2020",0.245
"Oct 31, 2020",0.202
"Nov 5, 2020",0.246
"Nov 5, 2020",0.167
"Nov 10, 2020",0.247
"Nov 10, 2020",0.2
"Nov 15, 2020",0.195
"Nov 20, 2020",0.258
"Nov 20, 2020",0.201
"Nov 30, 2020",0.232
"Nov 30, 2020",0.208
"Dec 5, 2020",0.256
"Dec 5, 2020",0.232
"Dec 10, 2020",0.305
"Dec 10, 2020",0.338
"Dec 15, 2020",0.296
"Dec 15, 2020",0.241
"Dec 20, 2020",0.233
"Dec 20, 2020",0.087
"Dec 25, 2020",0.36
"Jan 9, 2021",0.362
"Jan 14, 2021",0.315
"Jan 19, 2021",0.443
"Jan 19, 2021",0.473
"Feb 3, 2021",0.191
"Feb 8, 2021",0.467
"Feb 8, 2021",0.563
"Feb 18, 2021",0.43
"Feb 18, 2021",0.526
"Feb 23, 2021",0.268
"Feb 23, 2021",0.064
"Feb 28, 2021",0.456
"Feb 28, 2021",0.528
"Mar 5, 2021",0.444
"Mar 5, 2021",0.498
"Mar 15, 2021",0.339
"Mar 15, 2021",0.432
"Mar 20, 2021",0.366
"Mar 20, 2021",0.456
"Mar 25, 2021",0.335
"Mar 30, 2021",0.258
"Mar 30, 2021",0.193
"Apr 4, 2021",0.24
"Apr 4, 2021",0.165
"Apr 9, 2021",0.239
"Apr 9, 2021",0.155
"Apr 24, 2021",0.189
"Apr 24, 2021",0.189
"Apr 29, 2021",0.153
"Apr 29, 2021",0.119
"May 4, 2021",0.078
"May 9, 2021",0.155
"May 9, 2021",0.131
"May 14, 2021",0.176
"May 14, 2021",0.153
"May 24, 2021",0.2
"May 24, 2021",0.211
"May 29, 2021",0.142
"May 29, 2021",0.118
"Jun 3, 2021",0.109
"Jun 8, 2021",0.203
"Jun 8, 2021",0.158
"Jun 23, 2021",0.225
"Jun 23, 2021",0.206
