system:time_start,ndvi
"Dec 16, 2018",0.546
"Dec 16, 2018",0.719
"Dec 21, 2018",0.417
"Dec 21, 2018",0.525
"Dec 26, 2018",0.36
"Dec 26, 2018",0.401
"Dec 31, 2018",0.507
"Dec 31, 2018",0.721
"Jan 25, 2019",0.738
"Feb 9, 2019",0.691
"Feb 9, 2019",0.867
"Mar 1, 2019",0.705
"Mar 1, 2019",0.862
"Mar 6, 2019",0.697
"Mar 6, 2019",0.86
"Mar 16, 2019",0.611
"Mar 16, 2019",0.689
"Mar 21, 2019",0.769
"Mar 26, 2019",0.601
"Mar 26, 2019",0.618
"Mar 31, 2019",0.584
"Mar 31, 2019",0.599
"Apr 5, 2019",0.426
"Apr 5, 2019",0.337
"Apr 15, 2019",0.391
"Apr 15, 2019",0.213
"Apr 20, 2019",0.311
"Apr 20, 2019",0.133
"Apr 25, 2019",0.304
"Apr 25, 2019",0.14
"Apr 30, 2019",0.276
"Apr 30, 2019",0.171
"May 5, 2019",0.331
"May 5, 2019",0.168
"May 10, 2019",0.261
"May 25, 2019",0.308
"May 25, 2019",0.247
"May 30, 2019",0.313
"May 30, 2019",0.27
"Jun 4, 2019",0.302
"Jun 9, 2019",0.319
"Jun 9, 2019",0.302
"Jun 14, 2019",0.336
"Jun 14, 2019",0.397
"Jun 19, 2019",0.329
"Jun 19, 2019",0.298
"Jun 29, 2019",0.306
"Jun 29, 2019",0.302
"Jul 24, 2019",0.325
"Aug 23, 2019",0.691
"Aug 23, 2019",0.561
"Aug 28, 2019",0.734
"Aug 28, 2019",0.733
"Sep 2, 2019",0.653
"Sep 2, 2019",0.731
"Sep 17, 2019",0.095
"Oct 2, 2019",0.656
"Oct 2, 2019",0.54
"Oct 12, 2019",0.556
"Oct 12, 2019",0.48
"Oct 17, 2019",0.546
"Oct 17, 2019",0.388
"Oct 22, 2019",0.545
"Oct 22, 2019",0.509
"Oct 27, 2019",0.321
"Oct 27, 2019",0.301
"Nov 1, 2019",0.254
"Nov 6, 2019",0.404
"Nov 6, 2019",0.312
"Nov 16, 2019",0.408
"Dec 1, 2019",0.411
