system:time_start,savi
"Dec 16, 2018",0.289
"Dec 16, 2018",0.43
"Dec 21, 2018",0.253
"Dec 21, 2018",0.333
"Dec 26, 2018",0.217
"Dec 26, 2018",0.288
"Dec 31, 2018",0.281
"Dec 31, 2018",0.45
"Jan 25, 2019",0.377
"Feb 9, 2019",0.415
"Feb 9, 2019",0.615
"Mar 1, 2019",0.435
"Mar 1, 2019",0.607
"Mar 6, 2019",0.422
"Mar 6, 2019",0.585
"Mar 16, 2019",0.382
"Mar 16, 2019",0.491
"Mar 21, 2019",0.503
"Mar 26, 2019",0.354
"Mar 26, 2019",0.373
"Mar 31, 2019",0.333
"Mar 31, 2019",0.34
"Apr 5, 2019",0.238
"Apr 5, 2019",0.193
"Apr 15, 2019",0.231
"Apr 15, 2019",0.127
"Apr 20, 2019",0.189
"Apr 20, 2019",0.093
"Apr 25, 2019",0.187
"Apr 25, 2019",0.091
"Apr 30, 2019",0.187
"Apr 30, 2019",0.117
"May 5, 2019",0.209
"May 5, 2019",0.12
"May 10, 2019",0.171
"May 25, 2019",0.189
"May 25, 2019",0.166
"May 30, 2019",0.194
"May 30, 2019",0.18
"Jun 4, 2019",0.19
"Jun 9, 2019",0.199
"Jun 9, 2019",0.203
"Jun 14, 2019",0.215
"Jun 14, 2019",0.266
"Jun 19, 2019",0.204
"Jun 19, 2019",0.192
"Jun 29, 2019",0.195
"Jun 29, 2019",0.199
"Jul 24, 2019",0.195
"Aug 23, 2019",0.446
"Aug 23, 2019",0.413
"Aug 28, 2019",0.461
"Aug 28, 2019",0.419
"Sep 2, 2019",0.431
"Sep 2, 2019",0.487
"Sep 17, 2019",0.086
"Oct 2, 2019",0.408
"Oct 2, 2019",0.364
"Oct 12, 2019",0.341
"Oct 12, 2019",0.29
"Oct 17, 2019",0.324
"Oct 17, 2019",0.231
"Oct 22, 2019",0.316
"Oct 22, 2019",0.29
"Oct 27, 2019",0.202
"Oct 27, 2019",0.184
"Nov 1, 2019",0.161
"Nov 6, 2019",0.228
"Nov 6, 2019",0.19
"Nov 16, 2019",0.226
"Dec 1, 2019",0.235
"Dec 1, 2019",0.306
"Dec 6, 2019",0.277
"Dec 6, 2019",0.333
"Dec 11, 2019",0.219
"Dec 31, 2019",0.175
"Dec 31, 2019",0.292
"Jan 5, 2020",0.337
"Jan 5, 2020",0.385
"Jan 10, 2020",0.246
"Jan 10, 2020",0.122
"Jan 30, 2020",0.402
"Jan 30, 2020",0.479
"Feb 4, 2020",0.265
"Feb 9, 2020",0.405
"Feb 9, 2020",0.422
"Feb 14, 2020",0.442
"Feb 14, 2020",0.494
"Feb 24, 2020",0.469
"Feb 24, 2020",0.524
"Mar 10, 2020",0.42
"Mar 10, 2020",0.504
"Mar 15, 2020",0.39
"Mar 15, 2020",0.516
"Mar 20, 2020",0.356
"Apr 4, 2020",0.303
"Apr 4, 2020",0.301
"Apr 14, 2020",0.181
"Apr 24, 2020",0.223
"Apr 24, 2020",0.215
"Apr 29, 2020",0.158
"Apr 29, 2020",0.173
"May 4, 2020",0.167
"May 9, 2020",0.161
"May 14, 2020",0.235
"May 14, 2020",0.197
"May 24, 2020",0.224
"May 24, 2020",0.12
"Jun 3, 2020",0.223
"Jun 3, 2020",0.155
"Jun 8, 2020",0.249
"Jun 8, 2020",0.202
"Jun 13, 2020",0.198
"Jun 13, 2020",0.179
"Jun 18, 2020",0.183
"Jun 18, 2020",0.214
"Jun 23, 2020",-0.004
"Jun 28, 2020",0.196
"Jun 28, 2020",0.151
"Jul 3, 2020",0.228
"Jul 13, 2020",0.291
"Jul 13, 2020",0.344
"Jul 23, 2020",0.28
"Jul 23, 2020",0.313
"Aug 2, 2020",0.323
"Aug 2, 2020",0.294
"Aug 7, 2020",0.474
"Sep 11, 2020",0.333
"Sep 11, 2020",0.485
"Sep 16, 2020",0.334
"Sep 21, 2020",0.426
"Sep 21, 2020",0.407
"Sep 26, 2020",0.411
"Oct 1, 2020",0.414
"Oct 1, 2020",0.477
"Oct 6, 2020",0.378
"Oct 6, 2020",0.434
"Oct 11, 2020",0.324
"Oct 11, 2020",0.332
"Oct 16, 2020",0.283
"Oct 16, 2020",0.267
"Oct 21, 2020",0.279
"Oct 21, 2020",0.268
"Oct 26, 2020",0.228
"Oct 26, 2020",0.166
"Oct 31, 2020",0.215
"Oct 31, 2020",0.17
"Nov 5, 2020",0.201
"Nov 5, 2020",0.146
