-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2017 through 10/12/2021 
Location: Latitude  30.2991   Longitude 77.2194 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 832.97 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR            MERRA-2 Precipitation Corrected (mm/day) 
TS                     MERRA-2 Earth Skin Temperature (C) 
T2M_MAX                MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2017,1,1,6.24,11.62,19.57,9.63,59.81
2017,1,2,0.16,11.21,19.24,8.91,61.18
2017,1,3,0.0,12.51,21.5,7.31,59.95
2017,1,4,0.01,12.01,20.67,10.58,53.47
2017,1,5,0.0,12.15,22.13,7.7,58.27
2017,1,6,9.53,12.31,20.48,8.12,43.76
2017,1,7,29.99,7.76,10.23,7.31,6.88
2017,1,8,0.15,7.21,13.39,4.71,45.43
2017,1,9,0.0,6.69,14.87,5.12,58.41
2017,1,10,0.11,6.61,15.55,3.7,58.16
2017,1,11,1.08,6.07,15.26,3.8,63.3
2017,1,12,0.07,6.14,16.15,4.6,68.59
2017,1,13,0.0,6.44,17.02,4.65,68.51
2017,1,14,0.0,8.58,18.91,3.32,62.39
2017,1,15,0.36,10.22,17.65,7.54,58.36
2017,1,16,3.27,8.9,16.17,7.17,32.17
2017,1,17,0.02,9.16,16.85,7.41,34.41
2017,1,18,0.01,9.38,18.87,6.37,53.93
2017,1,19,0.0,9.15,18.65,7.1,71.74
2017,1,20,0.0,10.71,22.05,7.28,73.88
2017,1,21,0.01,10.9,22.08,10.29,38.46
2017,1,22,0.24,12.84,22.38,10.38,64.99
2017,1,23,0.0,12.75,23.22,8.64,70.52
2017,1,24,0.18,12.43,21.74,12.07,41.44
2017,1,25,2.45,13.07,20.06,12.3,48.98
2017,1,26,11.65,12.3,19.32,8.9,7.84
2017,1,27,11.22,9.06,13.78,6.28,51.83
2017,1,28,0.0,10.59,20.38,5.97,64.66
2017,1,29,0.0,13.45,23.8,10.37,58.84
2017,1,30,0.02,13.24,23.02,10.79,66.56
2017,1,31,0.18,12.88,20.98,10.19,72.16
2017,2,1,0.0,12.79,21.79,7.66,77.35
2017,2,2,0.0,12.44,20.0,9.1,67.48
2017,2,3,0.0,13.24,22.87,11.11,66.84
2017,2,4,0.09,13.82,22.83,11.65,51.85
2017,2,5,9.27,13.3,18.92,11.18,44.57
2017,2,6,0.62,12.8,19.8,9.15,75.24
2017,2,7,0.0,12.37,21.68,7.88,81.84
2017,2,8,0.0,12.49,20.99,11.28,60.89
2017,2,9,0.0,10.87,19.3,7.69,83.41
2017,2,10,0.0,11.83,22.23,4.9,92.42
2017,2,11,0.0,13.21,22.93,8.87,92.67
2017,2,12,0.0,12.7,21.9,9.99,90.26
2017,2,13,0.0,13.57,24.32,9.34,93.27
2017,2,14,0.0,14.33,25.53,8.48,87.92
2017,2,15,0.0,16.29,25.97,11.68,90.95
2017,2,16,0.0,17.8,27.29,12.15,88.32
2017,2,17,0.0,18.09,28.31,13.48,83.59
2017,2,18,0.0,19.64,29.65,13.87,80.2
2017,2,19,0.2,19.64,27.35,15.78,66.12
2017,2,20,4.2,18.09,25.35,14.07,69.59
2017,2,21,4.04,15.09,21.87,11.92,69.14
2017,2,22,0.01,14.15,22.33,9.98,95.55
2017,2,23,0.0,14.58,24.22,8.15,103.71
2017,2,24,0.0,15.16,25.36,8.32,106.38
2017,2,25,0.0,15.38,25.28,8.77,103.77
2017,2,26,0.0,16.07,26.05,9.34,108.01
2017,2,27,0.0,16.9,26.88,11.26,108.46
2017,2,28,0.38,16.95,25.62,13.41,72.46
2017,3,1,2.14,17.1,25.18,13.99,83.12
2017,3,2,0.22,15.85,23.83,10.48,102.68
2017,3,3,0.0,15.84,23.69,9.79,103.84
2017,3,4,0.0,16.03,24.07,11.05,103.27
2017,3,5,0.0,16.01,25.83,10.38,112.13
2017,3,6,0.0,16.04,25.4,8.73,111.96
2017,3,7,1.0,14.37,21.65,10.65,74.6
2017,3,8,9.37,13.12,17.64,9.87,44.17
2017,3,9,2.67,14.68,21.52,8.53,79.08
2017,3,10,9.13,13.78,19.62,10.19,85.02
2017,3,11,6.97,11.14,16.19,7.03,68.68
2017,3,12,0.06,11.52,19.72,3.63,113.95
2017,3,13,0.0,13.34,22.26,6.68,111.84
2017,3,14,0.0,14.05,23.05,6.98,112.52
2017,3,15,0.0,16.15,26.31,7.95,116.97
2017,3,16,1.63,17.79,25.73,12.51,59.52
2017,3,17,0.14,17.08,24.79,10.45,108.67
2017,3,18,0.0,17.58,26.76,9.57,121.17
2017,3,19,0.0,18.32,27.16,11.65,118.16
2017,3,20,0.0,20.05,29.05,12.18,122.71
2017,3,21,0.0,21.2,30.21,13.73,118.27
2017,3,22,0.0,23.32,32.78,15.97,116.88
2017,3,23,0.0,24.25,32.94,17.44,112.82
2017,3,24,0.0,23.92,32.58,18.02,115.96
2017,3,25,0.0,23.05,31.76,16.8,126.27
2017,3,26,0.0,24.35,33.61,16.26,128.93
2017,3,27,0.0,25.47,34.53,17.51,126.76
2017,3,28,0.0,25.63,35.08,18.41,125.1
2017,3,29,0.0,26.83,35.3,19.65,127.65
2017,3,30,0.0,26.3,35.08,18.58,123.8
2017,3,31,0.0,27.71,36.3,19.94,123.16
2017,4,1,0.0,27.12,35.22,20.11,129.15
2017,4,2,0.0,26.08,34.9,18.05,132.59
2017,4,3,0.0,25.95,35.05,18.37,130.63
2017,4,4,0.46,25.99,32.57,19.57,82.11
2017,4,5,29.21,21.58,26.96,18.55,29.57
2017,4,6,10.33,22.3,30.79,16.77,93.65
2017,4,7,0.77,20.67,28.3,16.59,111.73
2017,4,8,0.0,20.71,29.77,14.73,131.78
2017,4,9,0.0,21.13,29.86,13.23,136.48
2017,4,10,0.0,21.55,30.55,12.95,140.49
2017,4,11,0.0,23.73,33.97,14.05,137.63
2017,4,12,0.0,25.44,36.35,16.26,141.64
2017,4,13,0.0,26.15,35.9,17.4,140.89
2017,4,14,0.02,26.68,35.09,19.5,137.97
2017,4,15,0.0,27.7,37.19,19.29,138.91
2017,4,16,0.0,28.81,38.63,19.76,140.98
2017,4,17,0.0,28.39,37.07,20.83,137.62
2017,4,18,0.0,29.19,38.65,21.35,135.36
2017,4,19,0.0,29.3,38.22,23.31,124.7
2017,4,20,0.0,30.32,40.19,23.37,135.44
2017,4,21,2.2,30.35,38.1,23.22,128.64
2017,4,22,1.45,29.95,38.37,22.73,108.9
2017,4,23,0.98,29.3,36.64,20.83,130.69
2017,4,24,0.16,28.44,34.3,21.72,126.16
2017,4,25,0.04,27.33,34.88,19.3,142.72
2017,4,26,0.21,27.18,34.46,18.87,138.29
2017,4,27,0.3,27.71,33.56,18.93,108.88
2017,4,28,0.02,27.94,35.87,19.01,138.59
2017,4,29,3.21,28.72,35.31,21.99,121.48
2017,4,30,3.38,27.47,33.51,20.3,114.34
2017,5,1,0.04,27.03,33.79,19.99,150.46
2017,5,2,0.0,27.85,36.07,18.39,138.01
2017,5,3,0.11,26.6,32.05,21.91,65.91
2017,5,4,0.19,28.71,34.0,19.76,123.53
2017,5,5,0.02,30.16,37.4,20.87,146.56
2017,5,6,0.0,31.39,38.59,21.39,134.12
2017,5,7,0.0,32.4,39.63,23.96,147.54
2017,5,8,0.0,33.59,40.88,25.23,132.78
2017,5,9,0.08,31.41,37.54,25.75,137.1
2017,5,10,0.1,31.64,37.53,23.36,129.17
2017,5,11,0.01,32.73,38.82,24.2,134.41
2017,5,12,10.05,31.95,39.12,24.65,117.7
2017,5,13,1.8,31.12,38.38,22.77,144.95
2017,5,14,0.02,32.47,38.97,24.18,137.22
2017,5,15,0.0,33.09,40.08,25.05,140.48
2017,5,16,0.22,33.07,39.13,25.02,100.87
2017,5,17,4.05,31.56,36.8,25.59,101.51
2017,5,18,1.66,30.06,33.55,23.37,119.73
2017,5,19,6.79,29.96,34.65,22.98,134.09
2017,5,20,2.78,30.03,35.68,21.75,122.03
2017,5,21,9.17,30.4,37.4,22.93,123.59
2017,5,22,5.04,28.59,33.61,22.87,70.84
2017,5,23,7.26,29.4,35.48,21.73,136.14
2017,5,24,0.89,30.74,35.7,23.5,146.54
2017,5,25,1.84,30.87,36.15,23.5,132.89
2017,5,26,5.09,31.01,37.65,23.26,131.43
2017,5,27,0.66,31.51,37.94,24.73,147.78
2017,5,28,3.82,30.51,36.44,23.16,132.43
2017,5,29,1.01,29.98,34.74,22.55,76.38
2017,5,30,1.75,30.15,35.05,22.09,149.52
2017,5,31,6.97,29.2,32.55,23.47,82.83
2017,6,1,0.02,30.38,36.02,21.35,144.25
2017,6,2,0.0,30.92,37.74,21.96,153.94
2017,6,3,0.0,33.06,40.92,23.35,153.41
2017,6,4,0.0,35.01,42.76,26.48,147.83
2017,6,5,0.54,34.37,41.15,26.56,135.86
2017,6,6,15.76,32.76,39.83,26.87,114.58
2017,6,7,23.19,28.65,32.15,23.7,97.44
