Date,ndvi,savi,ndre,District Name,PRECTOTCORR,TS,T2M_MAX,T2M_MIN,ALLSKY_SFC_PAR_TOT
2018-12-16,0.5155000000000001,0.2945,0.3215,Ambala,0.0,10.87,21.61,8.05,72.62
2018-12-23,0.403,0.244,0.256,Ambala,0.0,8.52,19.05,6.08,62.54
2018-12-30,0.373,0.2385,0.2535,Ambala,0.0,7.86,18.87,7.06,59.8
2019-01-06,0.501,0.297,0.312,Ambala,2.03,9.43,13.53,8.51,25.16
2019-01-13,,,,Ambala,1.06,11.5,19.47,7.18,55.32
2019-01-20,,,,Ambala,0.0,14.28,22.58,13.48,48.03
2019-01-27,0.418,0.285,0.292,Ambala,0.31,8.12,16.52,4.58,49.37
2019-02-03,,,,Ambala,0.0,11.96,21.16,8.65,77.2
2019-02-10,0.664,0.4205,0.4515,Ambala,0.0,10.12,17.08,5.92,59.05
2019-02-17,,,,Ambala,0.05,12.05,20.07,7.3,53.13
2019-02-24,,,,Ambala,0.0,14.01,21.8,9.97,74.67
2019-03-03,0.6930000000000001,0.454,0.485,Ambala,3.47,14.89,21.94,10.1,88.95
2019-03-10,0.6819999999999999,0.4465,0.48950000000000005,Ambala,0.0,16.48,24.87,10.51,116.81
2019-03-17,0.6185,0.373,0.44899999999999995,Ambala,0.15,19.3,27.55,13.4,104.95
2019-03-24,0.601,0.384,0.405,Ambala,0.0,20.53,28.55,15.47,104.33
2019-03-31,0.59075,0.359,0.391,Ambala,0.0,24.73,33.58,18.05,132.91
2019-04-07,0.4095,0.241,0.253,Ambala,0.0,28.26,35.98,22.05,122.46
2019-04-14,,,,Ambala,0.0,29.4,36.98,21.09,126.16
2019-04-21,0.2845,0.17775000000000002,0.15875,Ambala,0.0,28.41,35.87,20.19,132.55
2019-04-28,0.2265,0.14800000000000002,0.1395,Ambala,0.0,30.44,39.21,22.0,149.5
2019-05-05,0.22399999999999998,0.15875,0.14025,Ambala,0.0,29.58,38.4,20.39,150.92
2019-05-12,0.19,0.142,0.109,Ambala,0.06,32.62,38.57,23.84,125.21
2019-05-19,,,,Ambala,0.0,32.27,37.59,23.12,149.7
2019-05-26,0.244,0.15749999999999997,0.14350000000000002,Ambala,0.0,33.51,39.78,22.73,158.75
2019-06-02,0.254,0.16549999999999998,0.1495,Ambala,0.78,38.27,44.7,28.21,138.41
2019-06-09,0.24966666666666668,0.165,0.15166666666666667,Ambala,0.0,38.86,44.99,29.23,153.77
2019-06-16,0.2455,0.162,0.14350000000000002,Ambala,0.74,37.17,40.57,28.9,94.91
2019-06-23,0.2465,0.162,0.1345,Ambala,1.14,35.58,40.72,26.73,132.29
2019-06-30,0.21350000000000002,0.14500000000000002,0.1,Ambala,2.52,37.2,42.65,29.92,134.23
2019-07-07,,,,Ambala,9.95,33.96,37.67,26.84,108.38
2019-07-14,,,,Ambala,49.08,29.23,32.42,25.75,53.7
2019-07-21,,,,Ambala,1.16,30.31,33.9,25.76,104.35
2019-07-28,0.315,0.206,0.181,Ambala,1.44,28.62,32.36,25.31,104.64
2019-08-04,,,,Ambala,11.64,28.94,32.44,25.42,118.12
2019-08-11,,,,Ambala,19.23,29.0,32.55,24.72,102.59
2019-08-18,,,,Ambala,67.46,26.06,29.08,24.51,34.98
2019-08-25,0.483,0.3295,0.35450000000000004,Ambala,6.0,26.52,29.69,23.65,58.88
2019-09-01,0.704,0.4685,0.5055,Ambala,8.35,27.0,29.62,25.73,69.2
2019-09-08,0.629,0.437,0.472,Ambala,0.07,27.26,31.29,23.95,106.98
2019-09-15,,,,Ambala,2.25,27.01,31.37,23.4,89.87
2019-09-22,0.526,0.364,0.36,Ambala,9.06,26.08,29.9,22.56,79.43
2019-09-29,,,,Ambala,8.8,23.69,27.4,20.75,37.17
2019-10-06,0.525,0.3625,0.349,Ambala,0.0,22.05,28.15,17.36,96.81
2019-10-13,0.5595,0.347,0.34199999999999997,Ambala,0.0,22.11,29.11,18.39,100.31
2019-10-20,0.4225,0.261,0.256,Ambala,0.0,20.97,29.52,16.09,96.25
2019-10-27,0.36350000000000005,0.22225,0.229,Ambala,0.0,20.14,28.56,16.18,92.09
2019-11-03,0.177,0.114,0.123,Ambala,0.01,20.11,25.83,17.34,72.15
2019-11-10,0.3005,0.1775,0.1825,Ambala,0.0,18.53,26.62,14.63,82.9
2019-11-17,0.29,0.18,0.173,Ambala,0.01,18.81,26.94,14.48,80.55
2019-11-24,,,,Ambala,0.0,18.54,26.1,14.28,72.81
2019-12-01,0.379,0.21600000000000003,0.238,Ambala,0.0,13.84,22.02,11.32,70.24
2019-12-08,0.454,0.2535,0.267,Ambala,0.0,13.34,23.4,11.15,69.69
2019-12-15,0.386,0.233,0.256,Ambala,0.01,11.93,18.74,8.05,63.95
2019-12-22,,,,Ambala,0.0,11.54,21.19,7.68,62.75
2019-12-29,,,,Ambala,0.0,7.07,17.68,3.55,60.44
2020-01-05,0.3665,0.22725,0.24225,Ambala,0.09,10.22,17.94,6.33,55.22
2020-01-12,0.47000000000000003,0.2895,0.32599999999999996,Ambala,0.06,11.35,19.62,7.86,57.57
2020-01-19,,,,Ambala,0.0,9.33,18.22,5.4,67.32
2020-01-26,,,,Ambala,0.0,11.73,19.79,8.26,71.1
2020-02-02,0.624,0.378,0.448,Ambala,0.0,9.25,18.79,4.04,81.85
2020-02-09,0.5776666666666667,0.37200000000000005,0.4136666666666667,Ambala,0.0,10.62,20.41,6.63,88.9
2020-02-16,0.6194999999999999,0.3935,0.435,Ambala,0.0,14.83,25.64,9.15,93.06
2020-02-23,,,,Ambala,4.66,16.16,23.77,11.44,73.08
2020-03-01,0.62,0.4065,0.4345,Ambala,0.11,18.16,24.7,13.32,89.61
2020-03-08,,,,Ambala,0.17,16.57,23.78,10.36,112.03
2020-03-15,0.60225,0.374,0.39975,Ambala,0.71,16.15,22.45,10.71,107.4
2020-03-22,0.53,0.321,0.332,Ambala,0.09,20.3,27.49,15.71,117.88
2020-03-29,,,,Ambala,0.0,20.03,27.4,13.73,129.96
